id_produit,date_debut,date_fin,pu_achat_ht,fournisseur
1,2023-01-01,2023-05-01,1600,CIMAF Sahel
1,2023-05-02,2023-09-02,1500,CIMAF Sahel
1,2023-09-03,2024-01-03,1025,CIMAF Sahel
1,2024-01-04,2024-05-04,925,CIMAF Sahel
1,2024-05-05,2024-09-05,925,CIMAF Sahel
1,2024-09-06,2025-01-06,925,CIMAF Sahel
1,2025-01-07,2025-05-07,925,CIMAF Sahel
1,2025-05-08,2025-09-08,925,CIMAF Sahel
1,2025-09-09,2026-01-09,1000,CIMAF Sahel
1,2026-01-10,2026-05-10,925,CIMAF Sahel
1,2026-05-11,2026-08-31,950,CIMAF Sahel
2,2023-01-01,2023-05-01,1725,CIMAF Sahel
2,2023-05-02,2023-09-02,1550,CIMAF Sahel
2,2023-09-03,2024-01-03,1725,CIMAF Sahel
2,2024-01-04,2024-05-04,1750,CIMAF Sahel
2,2024-05-05,2024-09-05,1700,CIMAF Sahel
2,2024-09-06,2025-01-06,1800,CIMAF Sahel
2,2025-01-07,2025-05-07,1850,CIMAF Sahel
2,2025-05-08,2025-09-08,1525,CIMAF Sahel
2,2025-09-09,2026-01-09,1675,CIMAF Sahel
2,2026-01-10,2026-05-10,1750,CIMAF Sahel
2,2026-05-11,2026-08-31,1650,CIMAF Sahel
3,2023-01-01,2023-05-01,1775,CIMAF Sahel
3,2023-05-02,2023-09-02,1475,CIMAF Sahel
3,2023-09-03,2024-01-03,1725,CIMAF Sahel
3,2024-01-04,2024-05-04,1950,CIMAF Sahel
3,2024-05-05,2024-09-05,1850,CIMAF Sahel
3,2024-09-06,2025-01-06,1900,CIMAF Sahel
3,2025-01-07,2025-05-07,1675,CIMAF Sahel
3,2025-05-08,2025-09-08,1600,CIMAF Sahel
3,2025-09-09,2026-01-09,1525,CIMAF Sahel
3,2026-01-10,2026-05-10,1500,CIMAF Sahel
3,2026-05-11,2026-08-31,1400,CIMAF Sahel
4,2023-01-01,2023-05-01,1125,CIMAF Sahel
4,2023-05-02,2023-09-02,1125,CIMAF Sahel
4,2023-09-03,2024-01-03,1050,CIMAF Sahel
4,2024-01-04,2024-05-04,900,CIMAF Sahel
4,2024-05-05,2024-09-05,875,CIMAF Sahel
4,2024-09-06,2025-01-06,850,CIMAF Sahel
4,2025-01-07,2025-05-07,825,CIMAF Sahel
4,2025-05-08,2025-09-08,775,CIMAF Sahel
4,2025-09-09,2026-01-09,800,CIMAF Sahel
4,2026-01-10,2026-05-10,850,CIMAF Sahel
4,2026-05-11,2026-08-31,1125,CIMAF Sahel
5,2023-01-01,2023-05-01,1425,CIMAF Sahel
5,2023-05-02,2023-09-02,1250,CIMAF Sahel
5,2023-09-03,2024-01-03,1375,CIMAF Sahel
5,2024-01-04,2024-05-04,1225,CIMAF Sahel
5,2024-05-05,2024-09-05,1225,CIMAF Sahel
5,2024-09-06,2025-01-06,1125,CIMAF Sahel
5,2025-01-07,2025-05-07,1175,CIMAF Sahel
5,2025-05-08,2025-09-08,1425,CIMAF Sahel
5,2025-09-09,2026-01-09,1500,CIMAF Sahel
5,2026-01-10,2026-05-10,1375,CIMAF Sahel
5,2026-05-11,2026-08-31,1525,CIMAF Sahel
6,2023-01-01,2023-05-01,2475,CIMAF Sahel
6,2023-05-02,2023-09-02,2425,CIMAF Sahel
6,2023-09-03,2024-01-03,2300,CIMAF Sahel
6,2024-01-04,2024-05-04,2275,CIMAF Sahel
6,2024-05-05,2024-09-05,2175,CIMAF Sahel
6,2024-09-06,2025-01-06,2150,CIMAF Sahel
6,2025-01-07,2025-05-07,2275,CIMAF Sahel
6,2025-05-08,2025-09-08,2175,CIMAF Sahel
6,2025-09-09,2026-01-09,1750,CIMAF Sahel
6,2026-01-10,2026-05-10,1975,CIMAF Sahel
6,2026-05-11,2026-08-31,2100,CIMAF Sahel
7,2023-01-01,2023-05-01,1150,CIMAF Sahel
7,2023-05-02,2023-09-02,925,CIMAF Sahel
7,2023-09-03,2024-01-03,775,CIMAF Sahel
7,2024-01-04,2024-05-04,825,CIMAF Sahel
7,2024-05-05,2024-09-05,1000,CIMAF Sahel
7,2024-09-06,2025-01-06,1275,CIMAF Sahel
7,2025-01-07,2025-05-07,1275,CIMAF Sahel
7,2025-05-08,2025-09-08,1275,CIMAF Sahel
7,2025-09-09,2026-01-09,1325,CIMAF Sahel
7,2026-01-10,2026-05-10,1275,CIMAF Sahel
7,2026-05-11,2026-08-31,1300,CIMAF Sahel
8,2023-01-01,2023-05-01,1850,CIMAF Sahel
8,2023-05-02,2023-09-02,1975,CIMAF Sahel
