id_magasin;annee;mois;annee_mois;ca_objectif_ttc;marge_objectif_pct
1;2023;1;2023-01;45600000;0.195
1;2023;2;2023-02;48000000;0.197
1;2023;3;2023-03;56640000;0.201
1;2023;4;2023-04;54720000;0.189
1;2023;5;2023-05;44160000;0.187
1;2023;6;2023-06;37440000;0.189
1;2023;7;2023-07;34560000;0.196
1;2023;8;2023-08;38400000;0.198
1;2023;9;2023-09;48960000;0.192
1;2023;10;2023-10;58560000;0.187
1;2023;11;2023-11;57600000;0.198
1;2023;12;2023-12;55680000;0.202
1;2024;1;2024-01;49480000;0.188
1;2024;2;2024-02;52080000;0.191
1;2024;3;2024-03;61450000;0.193
1;2024;4;2024-04;59370000;0.201
1;2024;5;2024-05;47910000;0.204
1;2024;6;2024-06;40620000;0.201
1;2024;7;2024-07;37500000;0.187
1;2024;8;2024-08;41660000;0.193
1;2024;9;2024-09;53120000;0.202
1;2024;10;2024-10;63540000;0.193
1;2024;11;2024-11;62500000;0.196
1;2024;12;2024-12;60410000;0.2
1;2025;1;2025-01;53350000;0.197
1;2025;2;2025-02;56160000;0.2
1;2025;3;2025-03;66270000;0.191
1;2025;4;2025-04;64020000;0.2
1;2025;5;2025-05;51670000;0.19
1;2025;6;2025-06;43800000;0.188
1;2025;7;2025-07;40440000;0.201
1;2025;8;2025-08;44930000;0.192
1;2025;9;2025-09;57280000;0.205
1;2025;10;2025-10;68520000;0.203
1;2025;11;2025-11;67390000;0.186
1;2025;12;2025-12;65150000;0.195
1;2026;1;2026-01;57230000;0.201
1;2026;2;2026-02;60240000;0.201
1;2026;3;2026-03;71080000;0.202
1;2026;4;2026-04;68670000;0.202
1;2026;5;2026-05;55420000;0.201
1;2026;6;2026-06;46990000;0.195
1;2026;7;2026-07;43370000;0.202
1;2026;8;2026-08;48190000;0.195
2;2023;1;2023-01;29450000;0.189
2;2023;2;2023-02;31000000;0.202
2;2023;3;2023-03;36580000;0.197
2;2023;4;2023-04;35340000;0.192
2;2023;5;2023-05;28520000;0.202
2;2023;6;2023-06;24180000;0.2
2;2023;7;2023-07;22320000;0.205
2;2023;8;2023-08;24800000;0.197
2;2023;9;2023-09;31620000;0.196
2;2023;10;2023-10;37820000;0.193
2;2023;11;2023-11;37200000;0.198
2;2023;12;2023-12;35960000;0.194
2;2024;1;2024-01;31950000;0.197
2;2024;2;2024-02;33640000;0.203
2;2024;3;2024-03;39690000;0.203
2;2024;4;2024-04;38340000;0.195
2;2024;5;2024-05;30940000;0.192
2;2024;6;2024-06;26240000;0.204
2;2024;7;2024-07;24220000;0.201
2;2024;8;2024-08;26910000;0.203
2;2024;9;2024-09;34310000;0.185
2;2024;10;2024-10;41030000;0.195
2;2024;11;2024-11;40360000;0.197
2;2024;12;2024-12;39020000;0.186
2;2025;1;2025-01;34460000;0.186
2;2025;2;2025-02;36270000;0.202
2;2025;3;2025-03;42800000;0.199
2;2025;4;2025-04;41350000;0.187
2;2025;5;2025-05;33370000;0.191
2;2025;6;2025-06;28290000;0.198
2;2025;7;2025-07;26110000;0.203
2;2025;8;2025-08;29020000;0.188
2;2025;9;2025-09;37000000;0.185
2;2025;10;2025-10;44250000;0.186
2;2025;11;2025-11;43520000;0.194
2;2025;12;2025-12;42070000;0.199
2;2026;1;2026-01;36960000;0.192
2;2026;2;2026-02;38900000;0.204
2;2026;3;2026-03;45910000;0.186
2;2026;4;2026-04;44350000;0.198
2;2026;5;2026-05;35790000;0.201
2;2026;6;2026-06;30350000;0.204
2;2026;7;2026-07;28010000;0.194
2;2026;8;2026-08;31120000;0.186
3;2023;1;2023-01;25650000;0.197
3;2023;2;2023-02;27000000;0.194
3;2023;3;2023-03;31860000;0.191
3;2023;4;2023-04;30780000;0.192
3;2023;5;2023-05;24840000;0.195
3;2023;6;2023-06;21060000;0.192
3;2023;7;2023-07;19440000;0.193
3;2023;8;2023-08;21600000;0.198
3;2023;9;2023-09;27540000;0.204
3;2023;10;2023-10;32940000;0.189
3;2023;11;2023-11;32400000;0.192
3;2023;12;2023-12;31320000;0.188
3;2024;1;2024-01;27830000;0.197
3;2024;2;2024-02;29300000;0.197
3;2024;3;2024-03;34570000;0.19
3;2024;4;2024-04;33400000;0.199
3;2024;5;2024-05;26950000;0.196
3;2024;6;2024-06;22850000;0.189
3;2024;7;2024-07;21090000;0.189
3;2024;8;2024-08;23440000;0.192
3;2024;9;2024-09;29880000;0.198
3;2024;10;2024-10;35740000;0.203
3;2024;11;2024-11;35150000;0.19
3;2024;12;2024-12;33980000;0.199
