id_produit,designation,categorie,sous_categorie,unite,prix_vente_ht,poids_unite_kg,fournisseur,reference_fournisseur,tva,actif
1,Ciment CPJ45 50 kg — réf 1,materiaux,Ciment & liants,sac,5200.0,33.17,CIMAF Sahel,MAT-0001,0.18,1
2,Ciment CPJ45 50 kg — réf 2,MATÉRIAUX,Ciment & liants,sac,5575.0,28.24,CIMAF Sahel,MAT-0002,0.18,1
3,Ciment CPJ35 50 kg — réf 1,materiaux,Ciment & liants,sac,5275.0,55.6,CIMAF Sahel,MAT-0003,0.18,1
4,Ciment CPJ35 50 kg — réf 2,Materiaux,Ciment & liants,sac,3550.0,32.68,CIMAF Sahel,MAT-0004,0.18,1
5,Chaux aérienne 25 kg — réf 1,Matériaux ,Ciment & liants,sac,4400.0,26.29,CIMAF Sahel,MAT-0005,0.18,1
6,Chaux aérienne 25 kg — réf 2,Materiaux,Ciment & liants,sac,6925.0,59.63,CIMAF Sahel,MAT-0006,0.18,1
7,Plâtre de construction 25 kg — réf 1,materiaux,Ciment & liants,sac,3750.0,33.06,CIMAF Sahel,MAT-0007,0.18,1
8,Plâtre de construction 25 kg — réf 2,Materiaux,Ciment & liants,sac,5150.0,67.68,CIMAF Sahel,MAT-0008,0.18,1
9,Colle à carrelage 25 kg — réf 1,materiaux,Ciment & liants,sac,5075.0,38.98,CIMAF Sahel,MAT-0009,0.18,1
10,Colle à carrelage 25 kg — réf 2,MATÉRIAUX,Ciment & liants,sac,3775.0,34.15,CIMAF Sahel,MAT-0010,0.18,1
11,Enduit de lissage 20 kg — réf 1,Matériaux ,Ciment & liants,sac,6300.0,47.56,CIMAF Sahel,MAT-0011,0.18,1
12,Enduit de lissage 20 kg — réf 2,Materiaux,Ciment & liants,sac,5500.0,56.29,CIMAF Sahel,MAT-0012,0.18,1
13,Parpaing 15 aggloméré — réf 1,Matériaux ,Agglomérés & briques,unité,1250.0,1.85,Matériaux Kaboré,MAT-0013,0.18,1
14,Parpaing 15 aggloméré — réf 2,Matériaux ,Agglomérés & briques,unité,1200.0,4.28,Matériaux Kaboré,MAT-0014,0.18,1
15,Brique de terre cuite — réf 1,Materiaux,Agglomérés & briques,unité,900.0,2.94,Matériaux Kaboré,MAT-0015,0.18,1
16,Brique de terre cuite — réf 2,Matériaux ,Agglomérés & briques,unité,600.0,2.9,Matériaux Kaboré,MAT-0016,0.18,1
17,Carreau de pavement 40x40 — réf 1,MATÉRIAUX,Agglomérés & briques,unité,900.0,1.61,Matériaux Kaboré,MAT-0017,0.18,1
18,Carreau de pavement 40x40 — réf 2,MATÉRIAUX,Agglomérés & briques,unité,925.0,4.38,Matériaux Kaboré,MAT-0018,0.18,1
19,Hourdis creux 12 — réf 1,Materiaux,Agglomérés & briques,unité,900.0,4.6,Matériaux Kaboré,MAT-0019,0.18,1
20,Hourdis creux 12 — réf 2,materiaux,Agglomérés & briques,unité,1325.0,4.7,Matériaux Kaboré,MAT-0020,0.18,1
21,Pavé autobloquant — réf 1,Matériaux ,Agglomérés & briques,unité,975.0,2.59,Matériaux Kaboré,MAT-0021,0.18,1
22,Pavé autobloquant — réf 2,Materiaux,Agglomérés & briques,unité,600.0,3.61,Matériaux Kaboré,MAT-0022,0.18,1
23,Sable de rivière (m3) — réf 1,Matériaux ,Sable & gravier,m3,22275.0,1407.71,Carrière Nakosin,MAT-0023,0.18,1
24,Sable de rivière (m3) — réf 2,Materiaux,Sable & gravier,m3,22475.0,1124.6,Carrière Nakosin,MAT-0024,0.18,1
25,Gravier 15/25 (m3) — réf 1,materiaux,Sable & gravier,m3,26800.0,1539.61,Carrière Nakosin,MAT-0025,0.18,1
26,Gravier 15/25 (m3) — réf 2,materiaux,Sable & gravier,m3,18450.0,2225.34,Carrière Nakosin,MAT-0026,0.18,1
27,Tout-venant (m3) — réf 1,materiaux,Sable & gravier,m3,13775.0,1753.05,Carrière Nakosin,MAT-0027,0.18,1
28,Tout-venant (m3) — réf 2,Matériaux ,Sable & gravier,m3,20300.0,1194.97,Carrière Nakosin,MAT-0028,0.18,1
29,Vis à bois 4x40 (boîte) — réf 1,Quincaillerie,Fixations,unité,1525.0,0.3,Sahel Quincaillerie,QUI-0029,0.18,1
30,Vis à bois 4x40 (boîte) — réf 2,Quincaillerie,Fixations,unité,1400.0,-1.0,Sahel Quincaillerie,QUI-0030,0.18,1
31,Cheville nylon 8 mm (sachet) — réf 1,quincaillerie,Fixations,unité,2125.0,0.25,Sahel Quincaillerie,QUI-0031,0.18,1
32,Cheville nylon 8 mm (sachet) — réf 2,quincaillerie,Fixations,unité,1800.0,-1.0,Sahel Quincaillerie,QUI-0032,0.18,1
33,Pointe 100 mm (kg) — réf 1,quincaillerie,Fixations,unité,2125.0,0.48,Sahel Quincaillerie,QUI-0033,0.18,1
34,Pointe 100 mm (kg) — réf 2,Quincaillerie ,Fixations,unité,1225.0,0.4,Sahel Quincaillerie,QUI-0034,0.18,1
35,Boulon HM 10x40 (boîte) — réf 1,QUINCAILLERIE,Fixations,unité,1700.0,0.23,Sahel Quincaillerie,QUI-0035,0.18,1
36,Boulon HM 10x40 (boîte) — réf 2,quincaillerie,Fixations,unité,2250.0,0.44,Sahel Quincaillerie,QUI-0036,0.18,1
