date,id_produit,id_magasin,qte_theorique,qte_physique,seuil_alerte,valeur_stock_ht
2025-09-23,62,6,85,88,21,288200
2025-06-09,89,1,30,32,7,268000
2026-03-08,117,2,5,5,1,17750
2025-09-27,37,2,13,12,3,15000
2025-05-16,122,1,85,83,21,495925
2026-06-27,91,5,39,39,9,374400
2024-12-03,71,2,22,20,5,58000
2023-11-03,78,1,14,13,3,348400
2024-08-06,13,4,39,41,9,51250
2026-08-30,111,4,17,19,4,327275
2025-06-24,138,1,20,17,5,83300
2026-02-03,24,3,28,25,7,561875
2023-04-27,25,1,29,30,7,804000
2025-10-02,29,4,10,10,2,15250
2023-08-27,63,5,5,5,1,15250
2025-01-20,45,1,2,2,0,18800
2025-04-23,20,5,44,46,11,60950
2024-04-16,89,3,14,15,3,125625
2024-03-25,91,3,5,5,1,48000
2025-05-13,27,6,48,50,12,688750
2026-01-08,100,6,15,15,3,246000
2026-05-16,115,1,13,13,3,35750
2024-06-22,144,3,22,21,5,139125
2024-11-19,42,2,9,9,2,15075
2025-08-23,41,5,87,90,21,123750
2024-03-15,69,4,34,37,8,100825
2025-02-21,114,5,68,66,17,379500
2024-04-11,17,6,14,14,3,12600
2024-12-22,2,3,5,5,1,27875
2024-09-03,130,5,26,24,6,471600
2026-01-17,69,5,25,24,6,65400
2026-06-23,85,6,20,21,5,227850
2026-02-11,35,1,14,15,3,25500
2024-01-24,62,6,25,27,6,88425
2025-07-07,82,6,32,33,8,1149225
2023-06-16,89,2,42,44,10,368500
2025-10-11,119,2,57,61,14,294325
2025-07-16,18,3,40,40,10,37000
2024-12-02,19,4,88,88,22,79200
2025-12-24,68,5,1,1,0,2350
2024-06-25,140,3,36,-1,9,154875
2025-11-26,126,3,35,35,8,128625
2025-04-16,32,2,8,8,2,14400
2025-03-30,130,3,73,66,18,1296900
2025-12-02,20,2,36,37,9,49025
2025-05-02,6,3,51,57,12,394725
2024-05-27,131,1,93,97,23,873000
2025-02-02,6,2,25,26,6,180050
2026-08-20,133,5,4,4,1,33100
2026-03-13,36,1,49,42,12,94500
2024-02-24,130,1,13,12,3,235800
2023-06-10,31,2,21,21,5,44625
2026-04-13,81,1,16,16,4,493200
2023-03-09,67,1,35,-1,8,116450
2023-03-15,135,1,19,18,4,173250
2023-07-19,5,3,15,15,3,66000
2024-10-30,77,4,19,22,4,578050
2025-02-08,105,6,36,36,9,674100
2026-08-12,91,2,4,4,1,38400
2023-12-12,76,6,10,9,2,154350
2024-02-17,24,4,56,59,14,1326025
2025-12-25,13,3,10,10,2,12500
2025-02-01,77,4,11,11,2,289025
2024-11-15,45,3,84,90,21,846000
2023-03-08,35,5,14,14,3,23800
2023-03-23,145,6,124,-1,31,914850
2025-04-16,93,3,10,9,2,67050
2025-11-14,54,6,57,59,14,523625
2024-01-02,72,4,16,15,4,57375
2023-11-08,32,5,4,4,1,7200
2023-04-08,93,1,21,21,5,156450
2025-10-15,4,5,6,-1,1,21300
2025-07-28,81,3,3,3,0,92475
2023-10-07,138,6,18,19,4,93100
2025-05-28,106,1,9,9,2,86850
2025-03-28,34,3,20,19,5,23275
2024-06-23,35,1,23,25,5,42500
2023-01-01,92,4,33,33,8,359700
2025-03-27,81,2,35,32,8,986400
2026-06-19,16,2,6,6,1,3600
2025-02-08,53,1,21,22,5,100100
2023-07-05,145,4,66,64,16,513600
2025-04-28,2,6,9,9,2,50175
2023-03-28,115,6,25,26,6,71500
2026-04-29,87,1,4,4,1,37000
2024-01-13,42,2,20,20,5,33500
2023-01-04,121,4,29,30,7,132000
2026-03-28,100,2,26,22,6,360800
2026-05-23,23,4,5,5,1,111375
2024-02-02,147,3,19,20,4,145000
2024-06-22,5,6,31,30,7,132000
2024-10-09,2,5,12,11,3,61325
2026-07-17,73,3,5,5,1,140625
2024-01-30,26,3,16,15,4,276750
2023-10-02,13,1,28,26,7,32500
2025-04-12,153,6,69,59,17,426275
2026-05-04,89,5,43,43,10,360125
2025-05-26,22,6,71,72,17,43200
2026-01-03,118,4,53,52,13,215800
2026-04-17,96,3,22,22,5,349800
2024-05-10,96,2,37,39,9,620100
2023-11-26,31,5,81,79,20,167875
2025-09-29,109,2,66,65,16,526500
2026-08-30,47,5,17,18,4,149400
2025-01-22,28,1,26,25,6,507500
2024-07-27,31,5,62,59,15,125375
2025-10-21,43,5,36,34,9,273700
2025-10-08,5,4,12,13,3,57200
2023-10-05,140,6,13,13,3,57525
2026-07-31,28,4,20,22,5,446600
2025-05-27,64,2,14,15,3,43125
2026-01-31,117,4,51,54,12,191700
2025-01-07,123,1,69,68,17,232900
2025-07-04,55,1,9,9,2,70425
2024-11-28,88,2,4,4,1,57500
2025-06-16,111,1,17,17,4,292825
2024-12-13,124,6,16,16,4,83600
2023-04-17,80,2,24,24,6,760200
2026-03-16,105,4,150,149,37,2790025
2023-04-05,152,5,16,-1,4,69700
2025-09-30,142,1,7,7,1,58800
2025-11-19,48,5,44,41,11,367975
2024-07-16,77,1,10,10,2,262750
2023-07-18,28,2,6,6,1,121800
2025-09-18,41,6,13,13,3,17875
2025-08-04,50,2,3,3,0,16200
2024-11-01,144,3,58,58,14,384250
2024-05-22,3,2,91,-1,22,485300
2023-02-25,91,3,27,25,6,240000
2023-11-06,52,3,8,8,2,44600
2023-05-16,116,2,21,22,5,72050
2023-05-27,140,2,157,153,39,677025
2023-05-03,16,2,17,17,4,10200
2026-07-17,26,5,45,42,11,774900
2024-09-01,61,6,30,29,7,84100
2024-02-01,38,4,8,8,2,14600
2025-06-14,33,5,49,50,12,106250
2023-05-03,96,4,38,39,9,620100
2026-03-18,12,3,166,164,41,902000
2023-04-21,117,6,2,2,0,7100
2026-04-13,110,2,10,11,2,175725
2024-02-07,41,1,23,23,5,31625
2026-02-21,95,4,19,18,4,189000
2026-02-18,80,2,16,17,4,538475
2025-12-31,143,2,21,18,5,133650
2023-08-06,32,2,5,5,1,9000
2024-02-04,128,6,24,22,6,344850
2024-11-17,15,1,42,40,10,36000
2023-03-19,98,1,57,59,14,824525
2026-03-08,151,2,41,42,10,233100
2023-12-27,74,4,18,18,4,545400
2024-02-29,66,6,31,30,7,120000
2024-11-07,98,2,8,8,2,111800
2024-03-12,82,6,16,16,4,557200
2024-06-06,51,4,50,48,12,306000
2025-06-09,53,6,3,3,0,13650
2025-04-15,141,5,70,-1,17,301875
2025-05-30,1,5,6,6,1,31200
2023-06-25,60,5,55,62,13,303800
2024-11-19,54,3,105,102,26,905250
2024-11-23,101,4,46,40,11,324000
2025-10-28,154,2,157,168,39,785400
2023-03-21,122,1,34,32,8,191200
2026-06-19,34,1,4,4,1,4900
2025-08-28,62,6,90,91,22,298025
2024-09-07,135,5,12,11,3,105875
2025-06-27,101,6,37,38,9,307800
2025-11-05,101,3,62,64,15,518400
2025-03-15,28,4,21,20,5,406000
2024-10-16,84,3,28,28,7,759500
2023-01-16,102,4,29,30,7,405000
2025-02-03,146,6,6,6,1,46800
2024-12-14,121,3,27,27,6,118800
2023-01-26,104,3,8,7,2,113925
2023-10-25,130,5,82,85,20,1670250
2024-12-02,117,3,16,17,4,60350
2025-10-23,115,4,54,52,13,143000
2026-01-05,58,6,49,50,12,253750
2023-12-08,37,4,10,10,2,12500
2025-12-29,3,4,40,39,10,205725
2025-06-24,23,6,17,15,4,334125
2024-07-13,92,6,56,52,14,566800
2025-06-21,139,3,25,22,6,176000
2025-03-01,47,5,44,51,11,423300
2024-08-06,73,1,14,14,3,393750
2023-08-19,36,5,48,43,12,96750
2023-09-02,138,3,18,17,4,83300
2024-10-01,24,4,340,323,85,7259425
2026-05-22,130,4,13,13,3,255450
2025-01-13,35,3,70,70,17,119000
2024-01-15,16,5,13,14,3,8400
