export genere depuis ELODIE v3
edition le 17/09/2026
peinture saaba sarl — tarif 2026
code_article;libelle;conditionnement;prix_unitaire;unite_mesure;tva
PS-001;Tube PVC évacuation 100 mm (ml) — réf 1;10 L;2900,57;litre;0,18
PS-002;Tube PVC évacuation 100 mm (ml) — réf 2;10 L;3275,46;litre;0,18
PS-003;Tube PER 16x2 (rouleau) — réf 1;10 L;3050,87;litre;0,18
PS-004;Tube PER 16x2 (rouleau) — réf 2;10 L;2875,4;litre;0,18
PS-005;Raccord laiton 20/27 — réf 1;10 L;4025,98;litre;0,18
PS-006;Raccord laiton 20/27 — réf 2;10 L;4000,79;litre;0,18
PS-007;Coude PVC 90° 100 — réf 1;10 L;3425,42;litre;0,18
PS-008;Coude PVC 90° 100 — réf 2;10 L;2350,55;litre;0,18
PS-009;Té fonte 100 — réf 1;10 L;2725,2;litre;0,18
PS-010;Té fonte 100 — réf 2;10 L;3750,95;litre;0,18
PS-011;Mastic d'étanchéité — réf 1;10 L;2900,33;litre;0,18
PS-012;Mastic d'étanchéité — réf 2;10 L;3825,44;litre;0,18
PS-013;Robinet mitigeur évier — réf 1;10 L;28125,84;litre;0,18
PS-014;Robinet mitigeur évier — réf 2;10 L;30300,4;litre;0,18
PS-015;Chasse d'eau 6 L — réf 1;10 L;22450,33;litre;0,18
PS-016;Chasse d'eau 6 L — réf 2;10 L;17150,98;litre;0,18
PS-017;Douche de toilettes — réf 1;10 L;26275,17;litre;0,18
PS-018;Douche de toilettes — réf 2;10 L;26800,69;litre;0,18
PS-019;Ballon d'eau chaude 50 L — réf 1;10 L;28800,24;litre;0,18
PS-020;Ballon d'eau chaude 50 L — réf 2;10 L;31675,89;litre;0,18
PS-021;Lavabo céramique — réf 1;10 L;30825,6;litre;0,18
PS-022;Lavabo céramique — réf 2;10 L;34825,96;litre;0,18
PS-023;WC complet avec abattant — réf 1;10 L;22600,82;litre;0,18
PS-024;WC complet avec abattant — réf 2;10 L;27125,89;litre;0,18
PS-025;Peinture acrylique blanc 10 L — réf 1;10 L;3675,40;litre;0,18
PS-026;Peinture acrylique blanc 10 L — réf 2;10 L;5750,68;litre;0,18
PS-027;Peinture glycéro 1 L — réf 1;10 L;2750,77;litre;0,18
PS-028;Peinture glycéro 1 L — réf 2;10 L;3275,75;litre;0,18
PS-029;Enduit de rebouchage 5 kg — réf 1;10 L;3550,54;litre;0,18
PS-030;Enduit de rebouchage 5 kg — réf 2;10 L;4150,91;litre;0,18
PS-031;Vernis marin 1 L — réf 1;10 L;4825,88;litre;0,18
PS-032;Vernis marin 1 L — réf 2;10 L;3250,19;litre;0,18
PS-033;Antirouille rouge brique 1 L — réf 1;10 L;4400,47;litre;0,18
PS-034;Antirouille rouge brique 1 L — réf 2;10 L;5975,89;litre;0,18
PS-035;Peinture toiture 25 kg — réf 1;10 L;3425,30;litre;0,18
PS-036;Peinture toiture 25 kg — réf 2;10 L;5225,24;litre;0,18
PS-037;Diluant nitro 5 L — réf 1;10 L;3875,64;litre;0,18
PS-038;Diluant nitro 5 L — réf 2;10 L;3675,58;litre;0,18
