id_produit,designation,categorie,sous_categorie,unite,prix_vente_ht,poids_unite_kg,fournisseur,reference_fournisseur,tva,actif
1,Ciment CPJ45 50 kg — réf 1,Matériaux,Ciment & liants,sac,5200,33.17,CIMAF Sahel,MAT-0001,0.18,1
2,Ciment CPJ45 50 kg — réf 2,Matériaux,Ciment & liants,sac,5575,28.24,CIMAF Sahel,MAT-0002,0.18,1
3,Ciment CPJ35 50 kg — réf 1,Matériaux,Ciment & liants,sac,5275,55.6,CIMAF Sahel,MAT-0003,0.18,1
4,Ciment CPJ35 50 kg — réf 2,Matériaux,Ciment & liants,sac,3550,32.68,CIMAF Sahel,MAT-0004,0.18,1
5,Chaux aérienne 25 kg — réf 1,Matériaux,Ciment & liants,sac,4400,26.29,CIMAF Sahel,MAT-0005,0.18,1
6,Chaux aérienne 25 kg — réf 2,Matériaux,Ciment & liants,sac,6925,59.63,CIMAF Sahel,MAT-0006,0.18,1
7,Plâtre de construction 25 kg — réf 1,Matériaux,Ciment & liants,sac,3750,33.06,CIMAF Sahel,MAT-0007,0.18,1
8,Plâtre de construction 25 kg — réf 2,Matériaux,Ciment & liants,sac,5150,67.68,CIMAF Sahel,MAT-0008,0.18,1
9,Colle à carrelage 25 kg — réf 1,Matériaux,Ciment & liants,sac,5075,38.98,CIMAF Sahel,MAT-0009,0.18,1
10,Colle à carrelage 25 kg — réf 2,Matériaux,Ciment & liants,sac,3775,34.15,CIMAF Sahel,MAT-0010,0.18,1
11,Enduit de lissage 20 kg — réf 1,Matériaux,Ciment & liants,sac,6300,47.56,CIMAF Sahel,MAT-0011,0.18,1
12,Enduit de lissage 20 kg — réf 2,Matériaux,Ciment & liants,sac,5500,56.29,CIMAF Sahel,MAT-0012,0.18,1
13,Parpaing 15 aggloméré — réf 1,Matériaux,Agglomérés & briques,unité,1250,1.85,Matériaux Kaboré,MAT-0013,0.18,1
14,Parpaing 15 aggloméré — réf 2,Matériaux,Agglomérés & briques,unité,1200,4.28,Matériaux Kaboré,MAT-0014,0.18,1
15,Brique de terre cuite — réf 1,Matériaux,Agglomérés & briques,unité,900,2.94,Matériaux Kaboré,MAT-0015,0.18,1
16,Brique de terre cuite — réf 2,Matériaux,Agglomérés & briques,unité,600,2.9,Matériaux Kaboré,MAT-0016,0.18,1
17,Carreau de pavement 40x40 — réf 1,Matériaux,Agglomérés & briques,unité,900,1.61,Matériaux Kaboré,MAT-0017,0.18,1
18,Carreau de pavement 40x40 — réf 2,Matériaux,Agglomérés & briques,unité,925,4.38,Matériaux Kaboré,MAT-0018,0.18,1
