niveau,cle,nb_lignes,ca_ttc,marge_estimee_ht
magasin,1,81769,5254111216,4452636598
magasin,2,52433,3386929443,2870279100
magasin,3,48086,3062594981,2595419443
magasin,4,31216,2003097744,1697540385
magasin,5,26496,1713251773,1451908320
annee,2023,59274,3404045239,2884784137
annee,2024,64990,4015194723,3402707321
annee,2025,69366,4672521290,3959763657
annee,2026,46370,3328223905,2820528731
mois,2023-01,4808,282146146,239106903
mois,2023-02,4501,259460280,219881609
mois,2023-03,5911,330897971,280422033
mois,2023-04,5482,311370946,263873692
mois,2023-05,4652,270197781,228981139
mois,2023-06,3779,218498279,185168043
mois,2023-07,3526,198015994,167810150
mois,2023-08,4044,233066819,197514275
mois,2023-09,4950,289350247,245212092
mois,2023-10,6038,345881998,293120326
mois,2023-11,5884,334942539,283849624
mois,2023-12,5699,330216239,279844251
mois,2024-01,5181,311814878,264249892
mois,2024-02,5134,320898476,271947870
mois,2024-03,6381,397905607,337208143
mois,2024-04,6137,394661641,334459003
mois,2024-05,4979,304639326,258168893
mois,2024-06,4077,250369453,212177493
mois,2024-07,4038,245224195,207817102
mois,2024-08,4466,268301294,227373984
mois,2024-09,5278,325608016,275938974
mois,2024-10,6661,419210676,355263282
mois,2024-11,6346,379107218,321277302
mois,2024-12,6312,397453943,336825383
mois,2025-01,5612,372777027,315912726
mois,2025-02,5305,362502815,307205761
mois,2025-03,6799,457716438,387895285
mois,2025-04,6550,436329903,369771094
mois,2025-05,5454,377918230,320269658
mois,2025-06,4352,300435010,254605929
mois,2025-07,4118,267987877,227108349
mois,2025-08,4672,306982775,260154889
mois,2025-09,5806,401642539,340375013
mois,2025-10,7206,480730347,407398599
mois,2025-11,6639,439185233,372190842
mois,2025-12,6853,468313096,396875512
mois,2026-01,6042,438846064,371903442
mois,2026-02,5810,413949272,350804452
mois,2026-03,7376,527881218,447356935
mois,2026-04,6912,493505665,418225165
mois,2026-05,5738,416071845,352603244
mois,2026-06,4885,347948357,294871503
mois,2026-07,4544,324324548,274851313
mois,2026-08,5063,365696936,309912677
categorie,Bois & panneaux,16895,1727101681,1463645474
categorie,Consommables,28761,1375225530,1165445325
categorie,Electricité,26428,2469701472,2092967332
categorie,Matériaux,71716,3492592638,2959824242
categorie,Peinture,14445,1045255378,885809604
categorie,Plomberie,28769,3418137911,2896727026
categorie,Quincaillerie,52986,1891970547,1603364843
total,toutes_ventes,240000,15419985157,13067783846
