id_vente,id_ticket,date_vente,heure,id_magasin,id_vendeur,id_client,id_produit,quantite,prix_unitaire_ht,taux_remise,montant_ht,montant_tva,montant_ttc,mode_paiement,canal,est_retour,poids_kg,mois,annee
47820,T01-230101-000000,2023-01-01,10:58,1,5,94,51,7,6500,0.0,45500,8190,53690,Espèces,Magasin,0,4.83,1,2023
66845,T01-230101-000000,2023-01-01,10:35,1,15,447,62,-2,3200,0.0,-6400,-1152,-7552,Virement,Magasin,1,-1.94,1,2023
92080,T01-230101-000001,2023-01-01,08:16,1,15,13044,22,3,600,0.04,1728,311,2 039 FCFA,Créance 30 j,Magasin,0,10.83,1,2023
92628,T01-230101-000001,2023-01-01,15:02,1,10,9145,141,4,4500,0.0,18000,3240,21240,Mobile Money,Magasin,0,3.8,1,2023
99471,T01-230101-000002,01/01/2023,10:24,1,5,10165,122,8,6050,0.0,48400,8712,57 112 FCFA,Espèces,Magasin,0,5.68,1,2023
119868,T01-230101-000002,2023-01-01,09:12,1,15,0,1,6,5300,0.0,31800,5724,37524,Espèces,Magasin,0,199.02,1,2023
120724,T01-230101-000003,2023-01-01,10:31,1,10,0,13,1,1275,0.0,1275,230,1505,Espèces,Magasin,0,1.85,1,2023
127829,T01-230101-000003,2023-01-01,12:53,1,20,15475,4,6,3500,0.04,20160,3629,23789,Virement,Magasin,0,196.08,1,2023
134140,T01-230101-000004,2023-01-01,13:05,1,15,16116,145,14,7850,0.0,109900,19782,129682,Espèces,Téléphone,0,13.16,1,2023
147176,T01-230101-000004,2023-01-01,14:15,1,5,425,33,10,2125,0.04,20400,3672,24072,Espèces,Magasin,0,4.8,1,2023
159786,T01-230101-000005,2023-01-01,17:02,1,15,11564,126,8,3600,0.0,28800,5184,33984,Virement,Magasin,0,12.32,1,2023
180712,T01-230101-000005,2023-01-01,18:39,1,20,23442,125,6,3800,0.0,22800,4104,26904,Espèces,Magasin,0,5.64,1,2023
196072,T01-230101-000006,2023-01-01,08:02,1,5,6829,143,5,7400,0.0,37000,6660,43660,Mobile Money,Livraison,0,3.65,1,2023
204042,T01-230101-000006,01/01/2023,17:05,1,10,1475,30,6,1400,0.0,8400,1512,9912,Espèces,Magasin,0,2.46,1,2023
222870,T01-230101-000007,2023-01-01,15:46,1,15,0,71,4,2975,0.0,11900,2142,14042,Espèces,Magasin,0,2.76,1,2023
230434,T01-230101-000007,2023-01-01,11:50,1,15,1606,81,2,30375,0.0,60750,10935,71685,Créance 30 j,Magasin,0,12.98,1,2023
2823,T01-230102-000036,2023-01-02,11:12,1,20,3856,134,15,12000,0.04,172800,31104,203904,Espèces,Magasin,0,276.0,1,2023
4645,T01-230102-000036,2023-01-02,11:29,1,20,0,97,2,14225,0.0,28450,5121,33571,Espèces,Magasin,0,3.92,1,2023
6278,T01-230102-000037,2023-01-02,18:53,1,15,16018,37,3,1250,30.0,3750,675,4425,Mobile Money,Livraison,0,1.65,1,2023
15376,T01-230102-000037,2023-01-02,10:41,1,15,19633,95,3,10300,0.0,30900,5562,36462,Espèces,Magasin,0,6.69,1,2023
21243,T01-230102-000038,2023-01-02,11:14,1,15,10812,37,4,1225,0.0,4900,882,5782,Espèces,Magasin,0,2.2,1,2023
31537,T01-230102-000038,2023-01-02,12:30,1,10,5073,97,4,14300,0.04,54912,9884,64796,Espèces,Magasin,0,7.84,1,2023
34331,T01-230102-000039,2023-01-02,18:57,1,10,3700,81,3,30775,0.04,88632,15954,104586,Mobile Money,Magasin,0,19.47,1,2023
36959,T01-230102-000039,2023-01-02,10:13,1,20,0,3,44,5300,0.0,233200,41976,275176,Virement,Magasin,0,2446.4,1,2023
37184,T01-230102-000040,2023-01-02,08:59,1,10,11707,33,4,2100,0.0,8400,1512,9912,Espèces,Magasin,0,1.92,1,2023
40265,T01-230102-000040,02/01/2023,15:37,1,20,15395,63,2,3125,0.0,6250,1125,7375,Virement,Livraison,0,1.56,1,2023
43140,T01-230102-000041,2023-01-02,09:17,1,5,10482,78,5,27600,0.0,138000,24840,162840,Mobile Money,Livraison,0,27.05,1,2023
45869,T01-230102-000041,2023-01-02,11:47,1,20,21670,9,3,5225,0.0,15675,2822,18497,Espèces,Téléphone,0,116.94,1,2023
45909,T01-230102-000042,2023-01-02,13:24,1,10,2407,17,1,875,0.04,840,151,991,Chèque,Livraison,0,1.61,1,2023
47638,T01-230102-000042,2023-01-02,09:34,1,10,12783,32,7,1775,0.0,12425,2236,14661,Chèque,Magasin,0,3.71,1,2023
52732,T01-230102-000043,2023-01-02,11:47,1,5,8120,147,4,7125,0.04,27360,4925,32285,Chèque,Magasin,0,3.32,1,2023
53512,T01-230102-000043,02/01/2023,12:00,1,5,1105,30,2,1375,0.0,2750,495,3245,Chèque,Magasin,0,0.82,1,2023
55302,T01-230102-000044,02/01/2023,08:46,1,15,13592,11,9,6200,0.0,55800,10044,65844,Virement,Livraison,0,428.04,1,2023
58059,T01-230102-000044,2023-01-02,17:27,1,5,17974,31,6,2175,0.04,12528,2255,14783,Mobile Money,Livraison,0,1.5,1,2023
60880,T01-230102-000045,2023-01-02,12:17,1,20,1833,105,7,18775,0.0,131425,23656,155081,Mobile Money,Livraison,0,16.1,1,2023
66240,T01-230102-000045,2023-01-02,12:18,1,20,18061,7,13,3725,0.0,48425,8716,57141,Espèces,Magasin,0,429.78,1,2023
77913,T01-230102-000046,02/01/2023,09:48,1,15,7654,97,4,14800,0.0,59200,10656,69856,Mobile Money,Livraison,0,7.84,1,2023
80329,T01-230102-000046,2023-01-02,12:30,1,10,13341,142,-2,8400,0.04,-16128,-2903,-19031,Virement,Magasin,1,-1.6,1,2023
86507,T01-230102-000047,2023-01-02,11:36,1,20,13031,81,8,30800,0.0,246400,44352,290752,Virement,Magasin,0,51.92,1,2023
88746,T01-230102-000047,2023-01-02,13:32,1,15,12576,26,4,17925,0.04,68832,12390,81 222 FCFA,Virement,Magasin,0,8901.36,1,2023
94116,T01-230102-000048,2023-01-02,14:23,1,5,22795,9,2,5100,0.04,9792,1763,11555,Virement,Magasin,0,77.96,1,2023
94405,T01-230102-000048,2023-01-02,14:54,1,15,2764,128,3,15525,0.04,44712,8048,52760,Chèque,Magasin,0,45.84,1,2023
96958,T01-230102-000049,2023-01-02,18:17,1,20,3518,126,12,3625,0.08,40020,7204,47 224 FCFA,Mobile Money,Magasin,0,18.48,1,2023
97434,T01-230102-000049,2023-01-02,15:33,1,20,0,48,15,8800,0.0,132000,23760,155760,Mobile Money,Livraison,0,24.0,1,2023
98730,T01-230102-000050,2023-01-02,10:00,1,20,22680,94,3,7600,0.0,22800,4104,26904,Mobile Money,Livraison,0,9.57,1,2023
99264,T01-230102-000050,02/01/2023,13:07,1,15,18203,48,2,9200,0.04,17664,3180,20844,Mobile Money,Magasin,0,3.2,1,2023
103335,T01-230102-000051,2023-01-02,18:54,1,20,21638,43,1,8200,0.0,8200,1476,9676,Espèces,Magasin,0,1.15,1,2023
104658,T01-230102-000051,2023-01-02,10:11,1,20,14166,24,2,22900,0.0,45800,8244,54044,Mobile Money,Magasin,0,2249.2,1,2023
110207,T01-230102-000052,2023-01-02,10:34,1,15,0,87,1,9000,0.0,9000,1620,10620,Chèque,Magasin,0,2.79,1,2023
115871,T01-230102-000052,2023-01-02,17:38,1,15,4357,73,9,27300,0.0,245700,44226,289926,Chèque,Magasin,0,57.06,1,2023
