export genere depuis ELODIE v3
edition le 17/09/2026
peinture saaba sarl — tarif 2026
code_article;libelle;conditionnement;prix_unitaire;unite_mesure;tva
T-1;Ciment CPJ45 50 kg — réf 1 — réf MAT-0001;sac 25 kg;5200,00;sac;0,18
T-2;Ciment CPJ45 50 kg — réf 2 — réf MAT-0002;sac 25 kg;5575,00;sac;0,18
T-3;Ciment CPJ35 50 kg — réf 1 — réf MAT-0003;sac 25 kg;5275,00;sac;0,18
T-4;Ciment CPJ35 50 kg — réf 2 — réf MAT-0004;sac 25 kg;3550,00;sac;0,18
T-5;Chaux aérienne 25 kg — réf 1 — réf MAT-0005;sac 25 kg;4400,00;sac;0,18
T-7;Plâtre de construction 25 kg — réf 1 — réf MAT-0007;sac 25 kg;3750,00;sac;0,18
T-8;Plâtre de construction 25 kg — réf 2 — réf MAT-0008;sac 25 kg;5150,00;sac;0,18
T-9;Colle à carrelage 25 kg — réf 1 — réf MAT-0009;sac 25 kg;5075,00;sac;0,18
T-10;Colle à carrelage 25 kg — réf 2 — réf MAT-0010;sac 25 kg;3775,00;sac;0,18
T-11;Enduit de lissage 20 kg — réf 1 — réf MAT-0011;sac 25 kg;6300,00;sac;0,18
