id_vente,id_ticket,date_vente,heure,id_magasin,id_vendeur,id_client,id_produit,quantite,prix_unitaire_ht,taux_remise,montant_ht,montant_tva,montant_ttc,mode_paiement,canal,est_retour,poids_kg,mois,annee
47820,T01-230101-000000,2023-01-01,10:58,1,5,94,51,7,6500,0.0,45500,8190,53690,Espèces,Magasin,0,4.83,1,2023
66845,T01-230101-000000,2023-01-01,10:35,1,15,447,62,-2,3200,0.0,-6400,-1152,-7552,Virement,Magasin,1,-1.94,1,2023
92080,T01-230101-000001,2023-01-01,08:16,1,15,13044,22,3,600,0.04,1728,311,2039,Créance 30 j,Magasin,0,10.83,1,2023
92628,T01-230101-000001,2023-01-01,15:02,1,10,9145,141,4,4500,0.0,18000,3240,21240,Mobile Money,Magasin,0,3.8,1,2023
99471,T01-230101-000002,2023-01-01,10:24,1,5,10165,122,8,6050,0.0,48400,8712,57112,Espèces,Magasin,0,5.68,1,2023
119868,T01-230101-000002,2023-01-01,09:12,1,15,0,1,6,5300,0.0,31800,5724,37524,Espèces,Magasin,0,199.02,1,2023
120724,T01-230101-000003,2023-01-01,10:31,1,10,0,13,1,1275,0.0,1275,230,1505,Espèces,Magasin,0,1.85,1,2023
127829,T01-230101-000003,2023-01-01,12:53,1,20,15475,4,6,3500,0.04,20160,3629,23789,Virement,Magasin,0,196.08,1,2023
134140,T01-230101-000004,2023-01-01,13:05,1,15,16116,145,14,7850,0.0,109900,19782,129682,Espèces,Téléphone,0,13.16,1,2023
147176,T01-230101-000004,2023-01-01,14:15,1,5,425,33,10,2125,0.04,20400,3672,24072,Espèces,Magasin,0,4.8,1,2023
159786,T01-230101-000005,2023-01-01,17:02,1,15,11564,126,8,3600,0.0,28800,5184,33984,Virement,Magasin,0,12.32,1,2023
180712,T01-230101-000005,2023-01-01,18:39,1,20,23442,125,6,3800,12.0,22800,4104,26904,Espèces,Magasin,0,5.64,1,2023
196072,T01-230101-000006,2023-01-01,08:02,1,5,6829,143,5,7400,0.0,37000,6660,43660,Mobile Money,Livraison,0,3.65,1,2023
204042,T01-230101-000006,2023-01-01,17:05,1,10,1475,30,6,1400,0.0,8400,1512,9912,Espèces,Magasin,0,2.46,1,2023
222870,T01-230101-000007,2023-01-01,15:46,1,15,0,71,4,2975,0.0,11900,2142,14042,Espèces,Magasin,0,2.76,1,2023
230434,T01-230101-000007,2023-01-01,11:50,1,15,1606,81,2,30375,0.0,60750,10935,71685,Créance 30 j,Magasin,0,12.98,1,2023
24242,T02-230101-000008,2023-01-01,12:35,2,11,0,64,4,2875,0.0,11500,2070,13570,Virement,Magasin,0,2.64,1,2023
32101,T02-230101-000009,2023-01-01,08:44,2,6,5708,31,4,2100,0.0,8400,1512,9912,Chèque,Magasin,0,1.0,1,2023
46098,T02-230101-000010,2023-01-01,09:19,2,11,2118,120,6,3300,0.0,19800,3564,23364,Mobile Money,Magasin,0,4.14,1,2023
84889,T02-230101-000011,2023-01-01,07:25,2,1,0,17,4,900,0.0,3600,648,4248,Mobile Money,Magasin,0,6.44,1,2023
91333,T02-230101-000012,2023-01-01,14:51,2,6,5688,54,2,9125,0.0,18250,3285,21535,Mobile Money,Magasin,0,2.28,1,2023
99282,T02-230101-000013,2023-01-01,15:01,2,16,1842,7,13,3675,0.0,47775,8600,56375,Chèque,Livraison,0,429.78,1,2023
130607,T02-230101-000014,2023-01-01,11:57,2,11,9846,144,1,6650,0.0,6650,1197,7847,Mobile Money,Magasin,0,0.92,1,2023
140180,T02-230101-000015,2023-01-01,10:54,2,6,6919,45,4,9500,0.04,36480,6566,43046,Espèces,Magasin,0,2.52,1,2023
142253,T02-230101-000016,2023-01-01,10:11,2,1,19000,4,3,3450,0.04,9936,1788,11724,Mobile Money,Magasin,0,98.04,1,2023
153122,T02-230101-000017,2023-01-01,10:04,2,21,5212,5,4,4400,0.04,16896,3041,19937,Espèces,Magasin,0,105.16,1,2023
165141,T02-230101-000018,2023-01-01,17:16,2,1,10972,104,1,16225,0.0,16225,2920,19145,Virement,Livraison,0,2.06,1,2023
173766,T02-230101-000019,2023-01-01,16:54,2,6,7513,138,5,4900,0.08,22540,4057,26597,Mobile Money,Magasin,0,2.6,1,2023
183129,T02-230101-000020,2023-01-01,08:47,2,11,14691,101,1,8225,0.04,7896,1421,9317,Mobile Money,Magasin,0,1.94,1,2023
197448,T02-230101-000021,2023-01-01,07:00,2,1,17239,7,6,3775,0.04,21744,3914,25658,Mobile Money,Livraison,0,198.36,1,2023
201866,T02-230101-000022,2023-01-01,12:14,2,21,21192,93,1,7575,0.0,7575,1364,8939,Espèces,Magasin,0,2.39,1,2023
210756,T02-230101-000023,2023-01-01,10:06,2,16,16855,133,1,8275,0.0,8275,1490,9765,Mobile Money,Magasin,0,9.82,1,2023
216424,T02-230101-000024,2023-01-01,11:57,2,1,1568,94,10,7700,0.0,77000,13860,90860,Espèces,Magasin,0,31.9,1,2023
20587,T03-230101-000025,2023-01-01,15:27,3,2,16512,136,5,11825,0.0,59125,10642,69767,Chèque,Magasin,0,85.5,1,2023
25748,T03-230101-000025,2023-01-01,15:20,3,22,12881,27,1,14100,0.0,14100,2538,16 638 FCFA,Virement,Magasin,0,1753.05,1,2023
82572,T03-230101-000025,2023-01-01,13:20,3,2,0,128,2,15400,0.0,30800,5544,36344,Espèces,Magasin,0,30.56,1,2023
89129,T03-230101-000025,2023-01-01,18:57,3,22,18196,2,6,5525,0.11,29504,5311,34815,Espèces,Magasin,0,169.44,1,2023
135540,T03-230101-000026,2023-01-01,09:51,3,12,5332,41,21,1425,0.0,29925,5386,35311,Créance 30 j,Magasin,0,6.93,1,2023
176157,T03-230101-000026,2023-01-01,12:36,3,22,19405,53,3,4575,0.0,13725,2470,16195,Virement,Téléphone,0,4.44,1,2023
193391,T03-230101-000026,2023-01-01,17:54,3,12,17177,106,1,9675,0.0,9675,1742,11417,Mobile Money,Magasin,0,2.26,1,2023
33449,T04-230101-000027,2023-01-01,12:20,4,8,16214,8,11,5050,0.04,53328,9599,62927,Chèque,Livraison,0,744.48,1,2023
46147,T04-230101-000028,2023-01-01,15:28,4,3,7987,79,2,29450,0.0,58900,10602,69502,Mobile Money,Téléphone,0,12.96,1,2023
78748,T04-230101-000029,2023-01-01,15:18,4,8,23455,56,29,4200,0.0,121800,21924,143724,Créance 30 j,Magasin,0,46.4,1,2023
125261,T04-230101-000030,2023-01-01,08:39,4,13,8708,106,2,9850,0.04,18912,3404,22316,Espèces,Magasin,0,4.52,1,2023
149943,T04-230101-000031,2023-01-01,08:42,4,13,2091,2,9,5450,0.0,49050,8829,57879,Chèque,Livraison,0,254.16,1,2023
171898,T04-230101-000032,2023-01-01,09:46,4,18,4705,19,1,900,0.0,900,162,1062,Espèces,Téléphone,0,4.6,1,2023
179394,T04-230101-000033,2023-01-01,12:44,4,8,6977,151,10,5475,0.04,52560,9461,62021,Espèces,Magasin,0,5.8,1,2023
23627,T05-230101-000034,2023-01-01,12:24,5,4,5419,122,3,5875,0.04,16920,3046,19966,Mobile Money,Magasin,0,2.13,1,2023
65039,T05-230101-000034,2023-01-01,17:46,5,4,16403,63,12,3000,0.04,34560,6221,40781,Créance 30 j,Livraison,0,9.36,1,2023
164118,T05-230101-000034,2023-01-01,07:48,5,4,21679,55,3,7600,0.0,22800,4104,26904,Virement,Livraison,0,2.25,1,2023
