id_client,nom,ville,type_client,plafond_credit
1,Client_0001,Bobo-Dioulasso,entreprise,500000
2,Client_0002,Ouagadougou,comptoir,500000
3,Client_0003,Koudougou,particulier,0
4,Client_0004,Bobo-Dioulasso,particulier,500000
5,Client_0005,Koudougou,particulier,0
6,Client_0006,Bobo-Dioulasso,particulier,1000000
7,Client_0007,Ouagadougou,particulier,0
8,Client_0008,Ouagadougou,particulier,50000
9,Client_0009,Ouagadougou,particulier,1000000
10,Client_0010,Bobo-Dioulasso,particulier,1000000
11,Client_0011,Bobo-Dioulasso,entreprise,0
12,Client_0012,Ouagadougou,particulier,1000000
13,Client_0013,Koudougou,particulier,100000
14,Client_0014,Ouagadougou,particulier,1000000
15,Client_0015,Bobo-Dioulasso,particulier,1000000
16,Client_0016,Bobo-Dioulasso,particulier,1000000
17,Client_0017,Bobo-Dioulasso,particulier,50000
18,Client_0018,Ouagadougou,particulier,1000000
19,Client_0019,Bobo-Dioulasso,particulier,500000
20,Client_0020,Ouagadougou,particulier,50000
21,Client_0021,Ouagadougou,comptoir,1000000
22,Client_0022,Bobo-Dioulasso,entreprise,0
23,Client_0023,Koudougou,comptoir,1000000
24,Client_0024,Bobo-Dioulasso,entreprise,0
25,Client_0025,Koudougou,comptoir,100000
26,Client_0026,Bobo-Dioulasso,particulier,100000
27,Client_0027,Bobo-Dioulasso,particulier,0
28,Client_0028,Ouagadougou,particulier,1000000
29,Client_0029,Koudougou,comptoir,500000
30,Client_0030,Ouagadougou,particulier,0
31,Client_0031,Koudougou,particulier,100000
32,Client_0032,Bobo-Dioulasso,particulier,0
33,Client_0033,Ouagadougou,particulier,100000
34,Client_0034,Ouagadougou,entreprise,1000000
35,Client_0035,Bobo-Dioulasso,particulier,0
36,Client_0036,Ouagadougou,particulier,0
37,Client_0037,Ouagadougou,particulier,500000
38,Client_0038,Bobo-Dioulasso,comptoir,500000
39,Client_0039,Bobo-Dioulasso,entreprise,500000
40,Client_0040,Ouagadougou,particulier,50000
41,Client_0041,Ouagadougou,comptoir,100000
42,Client_0042,Ouagadougou,particulier,100000
43,Client_0043,Koudougou,entreprise,1000000
44,Client_0044,Bobo-Dioulasso,particulier,1000000
45,Client_0045,Ouagadougou,entreprise,0
46,Client_0046,Bobo-Dioulasso,particulier,500000
47,Client_0047,Bobo-Dioulasso,particulier,50000
48,Client_0048,Ouagadougou,particulier,100000
49,Client_0049,Bobo-Dioulasso,particulier,100000
50,Client_0050,Bobo-Dioulasso,particulier,50000
51,Client_0051,Ouagadougou,comptoir,1000000
52,Client_0052,Bobo-Dioulasso,particulier,0
53,Client_0053,Ouagadougou,particulier,0
54,Client_0054,Bobo-Dioulasso,particulier,1000000
55,Client_0055,Ouagadougou,particulier,50000
56,Client_0056,Bobo-Dioulasso,entreprise,500000
57,Client_0057,Koudougou,entreprise,0
58,Client_0058,Bobo-Dioulasso,particulier,500000
59,Client_0059,Ouagadougou,particulier,500000
60,Client_0060,Bobo-Dioulasso,particulier,500000
61,Client_0061,Bobo-Dioulasso,particulier,50000
62,Client_0062,Bobo-Dioulasso,entreprise,500000
63,Client_0063,Ouagadougou,particulier,0
64,Client_0064,Ouagadougou,particulier,1000000
65,Client_0065,Bobo-Dioulasso,particulier,100000
66,Client_0066,Bobo-Dioulasso,entreprise,100000
67,Client_0067,Koudougou,particulier,100000
68,Client_0068,Bobo-Dioulasso,entreprise,100000
69,Client_0069,Ouagadougou,particulier,100000
70,Client_0070,Ouagadougou,particulier,100000
71,Client_0071,Bobo-Dioulasso,particulier,1000000
72,Client_0072,Koudougou,entreprise,500000
73,Client_0073,Bobo-Dioulasso,particulier,0
74,Client_0074,Bobo-Dioulasso,entreprise,100000
75,Client_0075,Koudougou,particulier,100000
76,Client_0076,Bobo-Dioulasso,particulier,0
77,Client_0077,Ouagadougou,particulier,100000
78,Client_0078,Ouagadougou,particulier,100000
79,Client_0079,Bobo-Dioulasso,particulier,500000
80,Client_0080,Bobo-Dioulasso,particulier,50000
81,Client_0081,Bobo-Dioulasso,entreprise,500000
82,Client_0082,Bobo-Dioulasso,particulier,0
83,Client_0083,Bobo-Dioulasso,particulier,500000
84,Client_0084,Koudougou,particulier,1000000
85,Client_0085,Koudougou,particulier,500000
86,Client_0086,Ouagadougou,comptoir,100000
87,Client_0087,Bobo-Dioulasso,entreprise,1000000
88,Client_0088,Ouagadougou,comptoir,1000000
89,Client_0089,Ouagadougou,particulier,0
90,Client_0090,Ouagadougou,entreprise,50000
91,Client_0091,Koudougou,comptoir,500000
92,Client_0092,Ouagadougou,particulier,500000
93,Client_0093,Koudougou,particulier,100000
94,Client_0094,Koudougou,comptoir,50000
95,Client_0095,Bobo-Dioulasso,particulier,50000
96,Client_0096,Bobo-Dioulasso,entreprise,0
97,Client_0097,Bobo-Dioulasso,entreprise,1000000
98,Client_0098,Bobo-Dioulasso,entreprise,500000
99,Client_0099,Ouagadougou,particulier,500000
100,Client_0100,Ouagadougou,particulier,0
101,Client_0101,Bobo-Dioulasso,particulier,1000000
102,Client_0102,Ouagadougou,entreprise,1000000
103,Client_0103,Ouagadougou,particulier,50000
104,Client_0104,Ouagadougou,entreprise,100000
105,Client_0105,Ouagadougou,particulier,1000000
106,Client_0106,Ouagadougou,particulier,50000
107,Client_0107,Ouagadougou,particulier,100000
108,Client_0108,Bobo-Dioulasso,particulier,1000000
109,Client_0109,Ouagadougou,particulier,0
110,Client_0110,Koudougou,particulier,1000000
111,Client_0111,Bobo-Dioulasso,entreprise,1000000
112,Client_0112,Bobo-Dioulasso,comptoir,50000
113,Client_0113,Ouagadougou,entreprise,1000000
114,Client_0114,Ouagadougou,particulier,500000
115,Client_0115,Bobo-Dioulasso,particulier,500000
116,Client_0116,Bobo-Dioulasso,particulier,50000
117,Client_0117,Bobo-Dioulasso,particulier,1000000
118,Client_0118,Koudougou,particulier,1000000
119,Client_0119,Bobo-Dioulasso,particulier,50000
120,Client_0120,Ouagadougou,entreprise,0
121,Client_0121,Koudougou,comptoir,0
122,Client_0122,Ouagadougou,particulier,100000
123,Client_0123,Bobo-Dioulasso,particulier,50000
124,Client_0124,Bobo-Dioulasso,comptoir,100000
125,Client_0125,Ouagadougou,particulier,1000000
126,Client_0126,Ouagadougou,comptoir,1000000
127,Client_0127,Bobo-Dioulasso,particulier,50000
128,Client_0128,Koudougou,particulier,50000
129,Client_0129,Ouagadougou,particulier,1000000
130,Client_0130,Bobo-Dioulasso,entreprise,100000
131,Client_0131,Ouagadougou,particulier,0
132,Client_0132,Koudougou,particulier,1000000
133,Client_0133,Ouagadougou,entreprise,1000000
134,Client_0134,Ouagadougou,particulier,1000000
135,Client_0135,Ouagadougou,entreprise,1000000
136,Client_0136,Koudougou,particulier,500000
137,Client_0137,Koudougou,particulier,100000
138,Client_0138,Ouagadougou,particulier,500000
139,Client_0139,Ouagadougou,particulier,0
140,Client_0140,Bobo-Dioulasso,particulier,0
141,Client_0141,Koudougou,particulier,50000
142,Client_0142,Koudougou,particulier,100000
143,Client_0143,Koudougou,particulier,0
144,Client_0144,Bobo-Dioulasso,entreprise,100000
145,Client_0145,Koudougou,entreprise,50000
146,Client_0146,Ouagadougou,particulier,100000
147,Client_0147,Bobo-Dioulasso,particulier,0
148,Client_0148,Ouagadougou,particulier,50000
149,Client_0149,Ouagadougou,comptoir,1000000
150,Client_0150,Ouagadougou,particulier,500000
151,Client_0151,Bobo-Dioulasso,particulier,0
152,Client_0152,Koudougou,particulier,50000
153,Client_0153,Ouagadougou,entreprise,1000000
154,Client_0154,Bobo-Dioulasso,particulier,100000
155,Client_0155,Bobo-Dioulasso,particulier,50000
156,Client_0156,Bobo-Dioulasso,particulier,100000
157,Client_0157,Koudougou,entreprise,500000
158,Client_0158,Koudougou,particulier,50000
159,Client_0159,Bobo-Dioulasso,particulier,500000
160,Client_0160,Ouagadougou,entreprise,500000
161,Client_0161,Bobo-Dioulasso,particulier,0
162,Client_0162,Bobo-Dioulasso,particulier,0
163,Client_0163,Ouagadougou,particulier,1000000
164,Client_0164,Ouagadougou,comptoir,500000
165,Client_0165,Ouagadougou,particulier,50000
166,Client_0166,Ouagadougou,comptoir,100000
167,Client_0167,Ouagadougou,particulier,1000000
168,Client_0168,Ouagadougou,entreprise,100000
169,Client_0169,Ouagadougou,entreprise,100000
170,Client_0170,Ouagadougou,particulier,50000
171,Client_0171,Bobo-Dioulasso,particulier,0
172,Client_0172,Ouagadougou,particulier,500000
173,Client_0173,Bobo-Dioulasso,particulier,50000
174,Client_0174,Bobo-Dioulasso,particulier,50000
175,Client_0175,Ouagadougou,particulier,0
176,Client_0176,Bobo-Dioulasso,particulier,100000
177,Client_0177,Koudougou,particulier,0
178,Client_0178,Ouagadougou,particulier,100000
179,Client_0179,Ouagadougou,entreprise,50000
180,Client_0180,Ouagadougou,entreprise,0
181,Client_0181,Ouagadougou,particulier,500000
182,Client_0182,Bobo-Dioulasso,particulier,0
183,Client_0183,Bobo-Dioulasso,entreprise,500000
184,Client_0184,Bobo-Dioulasso,particulier,0
185,Client_0185,Ouagadougou,particulier,500000
186,Client_0186,Bobo-Dioulasso,entreprise,500000
187,Client_0187,Ouagadougou,particulier,0
188,Client_0188,Ouagadougou,particulier,1000000
189,Client_0189,Bobo-Dioulasso,particulier,500000
190,Client_0190,Bobo-Dioulasso,entreprise,100000
191,Client_0191,Ouagadougou,particulier,0
192,Client_0192,Bobo-Dioulasso,particulier,50000
193,Client_0193,Ouagadougou,particulier,500000
194,Client_0194,Koudougou,comptoir,0
195,Client_0195,Ouagadougou,entreprise,1000000
196,Client_0196,Bobo-Dioulasso,entreprise,1000000
197,Client_0197,Ouagadougou,particulier,100000
198,Client_0198,Ouagadougou,particulier,50000
199,Client_0199,Koudougou,comptoir,1000000
200,Client_0200,Ouagadougou,entreprise,100000
201,Client_0201,Ouagadougou,particulier,50000
202,Client_0202,Bobo-Dioulasso,particulier,500000
203,Client_0203,Bobo-Dioulasso,comptoir,50000
204,Client_0204,Koudougou,particulier,500000
205,Client_0205,Bobo-Dioulasso,comptoir,100000
206,Client_0206,Ouagadougou,particulier,1000000
207,Client_0207,Ouagadougou,entreprise,0
208,Client_0208,Ouagadougou,entreprise,500000
209,Client_0209,Koudougou,entreprise,100000
210,Client_0210,Ouagadougou,particulier,0
211,Client_0211,Bobo-Dioulasso,entreprise,1000000
212,Client_0212,Ouagadougou,entreprise,0
213,Client_0213,Bobo-Dioulasso,particulier,100000
214,Client_0214,Ouagadougou,particulier,500000
215,Client_0215,Bobo-Dioulasso,particulier,50000
216,Client_0216,Koudougou,particulier,50000
217,Client_0217,Ouagadougou,entreprise,500000
218,Client_0218,Ouagadougou,particulier,50000
219,Client_0219,Ouagadougou,particulier,50000
220,Client_0220,Bobo-Dioulasso,particulier,100000
221,Client_0221,Koudougou,particulier,50000
222,Client_0222,Ouagadougou,particulier,100000
223,Client_0223,Bobo-Dioulasso,particulier,1000000
224,Client_0224,Koudougou,particulier,500000
225,Client_0225,Koudougou,entreprise,100000
226,Client_0226,Ouagadougou,particulier,500000
227,Client_0227,Koudougou,entreprise,50000
