id_produit,id_categorie,designation,prix_vente_ht,annee_reference,actif
1,7,PROD-0001,26241.01,2026,True
2,7,PROD-0002,11645.4,2025,True
3,1,PROD-0003,5458.92,2026,True
4,5,PROD-0004,34828.76,2025,True
5,6,PROD-0005,18235.08,2025,True
6,3,PROD-0006,6044.49,2025,True
7,6,PROD-0007,5831.98,2026,True
8,1,PROD-0008,17555.28,2025,True
9,4,PROD-0009,9835.36,2025,True
10,1,PROD-0010,2650.52,2026,True
11,1,PROD-0011,37060.94,2026,True
12,6,PROD-0012,18790.95,2025,True
13,3,PROD-0013,12046.44,2025,True
14,6,PROD-0014,31004.49,2026,True
15,5,PROD-0015,8284.83,2025,False
16,5,PROD-0016,49735.94,2025,True
17,2,PROD-0017,18366.68,2025,True
18,1,PROD-0018,49946.47,2026,True
19,8,PROD-0019,6563.23,2025,True
20,1,PROD-0020,31172.04,2025,True
21,5,PROD-0021,4184.47,2025,True
22,4,PROD-0022,42973.56,2026,True
23,8,PROD-0023,48066.08,2025,True
24,6,PROD-0024,27543.96,2025,True
25,5,PROD-0025,20357.51,2025,True
26,8,PROD-0026,4102.28,2025,True
27,3,PROD-0027,4180.83,2025,True
28,8,PROD-0028,4669.25,2026,True
29,5,PROD-0029,37413.09,2026,True
30,1,PROD-0030,35216.42,2026,True
31,5,PROD-0031,43277.33,2026,True
32,8,PROD-0032,12879.06,2025,True
33,2,PROD-0033,16295.7,2025,True
34,1,PROD-0034,4409.07,2026,True
35,7,PROD-0035,19413.55,2026,True
36,8,PROD-0036,11375.95,2025,True
37,1,PROD-0037,17020.95,2025,True
38,3,PROD-0038,8744.36,2026,True
39,2,PROD-0039,19873.12,2026,True
40,5,PROD-0040,20439.99,2025,True
41,3,PROD-0041,34103.88,2026,True
42,6,PROD-0042,48903.6,2026,True
43,1,PROD-0043,39886.21,2025,False
44,2,PROD-0044,9085.28,2025,True
45,3,PROD-0045,44860.22,2026,True
46,7,PROD-0046,41400.85,2025,True
47,3,PROD-0047,15328.64,2026,True
48,3,PROD-0048,33168.37,2025,True
49,8,PROD-0049,45725.41,2025,True
50,5,PROD-0050,34592.63,2026,True
51,7,PROD-0051,24284.99,2025,True
52,4,PROD-0052,12962.6,2025,True
53,3,PROD-0053,17573.98,2025,True
54,5,PROD-0054,2133.63,2025,True
55,7,PROD-0055,5318.13,2025,True
56,1,PROD-0056,9053.84,2026,True
57,6,PROD-0057,33091.66,2026,True
58,8,PROD-0058,25105.66,2025,True
59,5,PROD-0059,8821.54,2025,True
60,1,PROD-0060,47161.71,2025,True
61,8,PROD-0061,2902.47,2026,True
62,2,PROD-0062,8524.78,2025,True
63,1,PROD-0063,18214.01,2026,True
64,1,PROD-0064,27821.3,2026,True
65,8,PROD-0065,6036.8,2026,True
66,8,PROD-0066,1987.74,2025,False
67,2,PROD-0067,6094.87,2026,True
68,7,PROD-0068,28147.37,2025,True
69,4,PROD-0069,49172.77,2026,True
70,3,PROD-0070,10782.93,2025,True
71,4,PROD-0071,40440.04,2026,True
72,7,PROD-0072,34955.21,2025,True
73,1,PROD-0073,35177.04,2025,True
74,7,PROD-0074,12726.11,2025,True
75,7,PROD-0075,17093.52,2026,True
