date,id_medicament,entree,sortie,stock_fin
2025-01-01,M01,146,15,931
2025-01-02,M01,0,9,922
2025-01-03,M01,0,10,912
2025-01-04,M01,0,9,903
2025-01-05,M01,0,5,898
2025-01-06,M01,0,6,892
2025-01-07,M01,0,10,882
2025-01-08,M01,0,9,873
2025-01-09,M01,0,12,861
2025-01-10,M01,0,9,852
2025-01-11,M01,0,5,847
2025-01-12,M01,0,13,834
2025-01-13,M01,0,13,821
2025-01-14,M01,0,10,811
2025-01-15,M01,139,10,940
2025-01-16,M01,0,6,934
2025-01-17,M01,0,9,925
2025-01-18,M01,0,10,915
2025-01-19,M01,0,11,904
2025-01-20,M01,0,12,892
2025-01-21,M01,0,5,887
2025-01-22,M01,0,4,883
2025-01-23,M01,0,7,876
2025-01-24,M01,0,9,867
2025-01-25,M01,0,9,858
2025-01-26,M01,0,6,852
2025-01-27,M01,0,7,845
2025-01-28,M01,0,13,832
2025-01-29,M01,104,7,929
2025-01-30,M01,0,12,917
2025-01-31,M01,0,17,900
2025-02-01,M01,114,4,1010
2025-02-02,M01,0,15,995
2025-02-03,M01,0,11,984
2025-02-04,M01,0,9,975
2025-02-05,M01,0,11,964
2025-02-06,M01,0,11,953
2025-02-07,M01,0,6,947
2025-02-08,M01,0,7,940
2025-02-09,M01,0,11,929
2025-02-10,M01,0,7,922
2025-02-11,M01,0,7,915
2025-02-12,M01,0,9,906
2025-02-13,M01,0,10,896
2025-02-14,M01,0,10,886
2025-02-15,M01,121,4,1003
2025-02-16,M01,0,4,999
2025-02-17,M01,0,10,989
2025-02-18,M01,0,6,983
2025-02-19,M01,0,15,968
2025-02-20,M01,0,5,963
2025-02-21,M01,0,10,953
2025-02-22,M01,0,10,943
2025-02-23,M01,0,10,933
2025-02-24,M01,0,7,926
2025-02-25,M01,0,9,917
2025-02-26,M01,0,6,911
2025-02-27,M01,0,3,908
2025-02-28,M01,0,11,897
2025-03-01,M01,140,5,1032
2025-03-02,M01,0,8,1024
2025-03-03,M01,0,13,1011
2025-03-04,M01,0,14,997
2025-03-05,M01,0,9,988
2025-03-06,M01,0,10,978
2025-03-07,M01,0,3,975
2025-03-08,M01,0,10,965
2025-03-09,M01,0,7,958
2025-03-10,M01,0,9,949
2025-03-11,M01,0,10,939
2025-03-12,M01,0,9,930
2025-03-13,M01,0,9,921
2025-03-14,M01,0,8,913
2025-03-15,M01,121,6,1028
2025-03-16,M01,0,8,1020
2025-03-17,M01,0,11,1009
2025-03-18,M01,0,8,1001
2025-03-19,M01,0,14,987
2025-03-20,M01,0,18,969
2025-03-21,M01,0,9,960
2025-03-22,M01,0,7,953
2025-03-23,M01,0,8,945
2025-03-24,M01,0,0,945
2025-03-25,M01,0,6,939
2025-03-26,M01,0,7,932
2025-03-27,M01,0,14,918
2025-03-28,M01,0,9,909
2025-03-29,M01,139,6,1042
2025-03-30,M01,0,12,1030
2025-03-31,M01,0,9,1021
2025-04-01,M01,117,15,1123
2025-04-02,M01,0,8,1115
2025-04-03,M01,0,14,1101
2025-04-04,M01,0,6,1095
2025-04-05,M01,0,7,1088
2025-04-06,M01,0,10,1078
2025-04-07,M01,0,8,1070
2025-04-08,M01,0,7,1063
2025-04-09,M01,0,8,1055
2025-04-10,M01,0,8,1047
2025-04-11,M01,0,12,1035
2025-04-12,M01,0,5,1030
2025-04-13,M01,0,12,1018
2025-04-14,M01,0,7,1011
2025-04-15,M01,122,7,1126
2025-04-16,M01,0,10,1116
2025-04-17,M01,0,12,1104
2025-04-18,M01,0,5,1099
2025-04-19,M01,0,10,1089
2025-04-20,M01,0,9,1080
2025-04-21,M01,0,10,1070
2025-04-22,M01,0,8,1062
2025-04-23,M01,0,8,1054
2025-04-24,M01,0,5,1049
2025-04-25,M01,0,6,1043
2025-04-26,M01,0,8,1035
2025-04-27,M01,0,13,1022
2025-04-28,M01,0,11,1011
2025-04-29,M01,135,8,1138
2025-04-30,M01,0,9,1129
2025-05-01,M01,138,8,1259
2025-05-02,M01,0,8,1251
2025-05-03,M01,0,12,1239
2025-05-04,M01,0,11,1228
2025-05-05,M01,0,10,1218
2025-05-06,M01,0,11,1207
2025-05-07,M01,0,11,1196
2025-05-08,M01,0,6,1190
2025-05-09,M01,0,4,1186
2025-05-10,M01,0,5,1181
2025-05-11,M01,0,9,1172
2025-05-12,M01,0,7,1165
2025-05-13,M01,0,5,1160
2025-05-14,M01,0,9,1151
2025-05-15,M01,125,7,1269
2025-05-16,M01,0,14,1255
2025-05-17,M01,0,10,1245
2025-05-18,M01,0,6,1239
2025-05-19,M01,0,11,1228
2025-05-20,M01,0,14,1214
2025-05-21,M01,0,10,1204
2025-05-22,M01,0,12,1192
2025-05-23,M01,0,10,1182
2025-05-24,M01,0,9,1173
2025-05-25,M01,0,8,1165
2025-05-26,M01,0,13,1152
2025-05-27,M01,0,6,1146
2025-05-28,M01,0,14,1132
2025-05-29,M01,137,9,1260
2025-05-30,M01,0,11,1249
2025-05-31,M01,0,9,1240
2025-06-01,M01,124,8,1356
2025-06-02,M01,0,14,1342
2025-06-03,M01,0,11,1331
2025-06-04,M01,0,9,1322
2025-06-05,M01,0,9,1313
2025-06-06,M01,0,8,1305
2025-06-07,M01,0,12,1293
2025-06-08,M01,0,10,1283
