id_absence,id_eleve,date,type,duree_jours
A000001,E0001,2025-10-10,absence,1
A000002,E0001,2026-05-20,absence,1
A000003,E0001,2026-04-27,absence,1
A000004,E0001,2026-04-10,absence,1
A000005,E0001,2025-10-14,absence,1
A000006,E0003,2025-09-12,tardif,0
A000007,E0003,2025-10-03,absence,1
A000008,E0003,2026-06-17,absence,1
A000009,E0003,2025-09-12,absence,1
A000010,E0003,2026-04-22,tardif,0
A000011,E0003,2025-12-12,absence,1
A000012,E0004,2025-09-26,absence,1
A000013,E0004,2025-10-15,absence,1
A000014,E0004,2025-09-30,tardif,0
A000015,E0004,2026-01-08,absence,1
A000016,E0004,2025-10-21,absence,1
A000017,E0005,2025-09-11,absence,1
A000018,E0005,2026-02-03,absence,1
A000019,E0005,2026-01-26,absence,1
A000020,E0006,2026-06-23,absence,1
A000021,E0006,2026-02-20,absence,1
A000022,E0006,2026-06-22,absence,1
A000023,E0006,2026-01-21,absence,1
A000024,E0006,2025-10-10,absence,1
A000025,E0006,2025-10-10,tardif,0
A000026,E0006,2026-01-07,absence,1
A000027,E0007,2026-06-17,absence,1
A000028,E0007,2026-02-02,absence,1
A000029,E0007,2026-03-20,absence,1
A000030,E0007,2026-02-18,absence,1
A000031,E0007,2026-01-16,tardif,0
A000032,E0007,2025-11-03,absence,1
A000033,E0007,2025-12-31,tardif,0
A000034,E0007,2026-06-10,absence,1
A000035,E0007,2026-02-05,absence,1
A000036,E0007,2026-06-09,absence,1
A000037,E0008,2026-04-30,absence,1
A000038,E0008,2025-09-03,absence,1
A000039,E0009,2025-09-25,absence,1
A000040,E0009,2025-10-17,absence,1
A000041,E0009,2025-11-28,tardif,0
A000042,E0009,2026-06-12,tardif,0
A000043,E0010,2026-03-13,tardif,0
A000044,E0010,2026-01-16,tardif,0
A000045,E0011,2026-02-05,absence,1
A000046,E0011,2026-03-31,absence,1
A000047,E0011,2025-10-08,absence,1
A000048,E0011,2026-01-12,tardif,0
A000049,E0011,2025-09-19,tardif,0
A000050,E0011,2025-12-24,tardif,0
A000051,E0011,2026-04-27,absence,1
A000052,E0011,2025-11-13,absence,1
A000053,E0012,2026-05-14,absence,1
A000054,E0012,2026-03-30,absence,1
A000055,E0012,2026-01-15,absence,1
A000056,E0012,2026-02-17,absence,1
A000057,E0012,2025-12-24,absence,1
A000058,E0013,2026-05-12,absence,1
A000059,E0013,2026-06-15,absence,1
A000060,E0013,2025-09-30,tardif,0
A000061,E0015,2026-04-30,absence,1
A000062,E0015,2025-10-06,tardif,0
A000063,E0015,2026-02-02,absence,1
A000064,E0015,2025-09-18,absence,1
A000065,E0016,2025-12-29,tardif,0
A000066,E0016,2026-06-30,tardif,0
A000067,E0016,2026-02-05,tardif,0
A000068,E0016,2025-09-03,absence,1
A000069,E0016,2026-02-16,tardif,0
A000070,E0016,2026-05-22,tardif,0
A000071,E0016,2026-02-13,tardif,0
A000072,E0017,2026-06-11,absence,1
A000073,E0017,2026-01-22,absence,1
A000074,E0017,2025-09-05,absence,1
A000075,E0018,2025-10-02,tardif,0
A000076,E0018,2026-03-16,tardif,0
A000077,E0018,2025-11-20,absence,1
A000078,E0019,2025-10-06,absence,1
A000079,E0019,2026-03-02,absence,1
A000080,E0020,2025-09-11,absence,1
A000081,E0020,2025-11-05,absence,1
A000082,E0020,2026-03-23,absence,1
A000083,E0020,2026-05-11,absence,1
A000084,E0020,2026-03-02,absence,1
A000085,E0020,2026-01-02,absence,1
A000086,E0020,2025-10-20,absence,1
A000087,E0021,2026-06-24,absence,1
A000088,E0021,2026-01-30,absence,1
A000089,E0021,2025-12-02,tardif,0
A000090,E0021,2025-12-23,tardif,0
A000091,E0021,2025-11-18,tardif,0
A000092,E0021,2026-06-12,absence,1
A000093,E0021,2025-12-24,absence,1
A000094,E0021,2026-03-06,absence,1
A000095,E0022,2026-06-15,absence,1
A000096,E0022,2025-12-17,absence,1
A000097,E0022,2026-05-28,absence,1
A000098,E0022,2026-04-15,absence,1
A000099,E0022,2025-10-20,absence,1
A000100,E0023,2026-06-23,absence,1
A000101,E0023,2025-12-16,absence,1
A000102,E0023,2025-10-29,absence,1
A000103,E0023,2025-12-22,absence,1
A000104,E0024,2025-12-24,tardif,0
A000105,E0024,2026-01-23,absence,1
A000106,E0024,2026-01-23,tardif,0
A000107,E0024,2026-03-26,absence,1
A000108,E0025,2025-09-29,tardif,0
A000109,E0025,2026-05-07,absence,1
