id_eleve,sexe,classe
E0001,M,5e
E0002,M,5e
E0003,F,5e
E0004,F,5e
E0005,F,5e
E0006,F,5e
E0007,M,5e
E0008,F,5e
E0009,F,5e
E0010,M,5e
E0011,F,5e
E0012,F,5e
E0013,M,5e
E0014,M,5e
E0015,M,5e
E0016,M,5e
E0017,M,5e
E0018,M,5e
E0019,F,5e
E0020,F,5e
E0021,M,5e
E0022,M,5e
E0023,F,5e
E0024,M,5e
E0025,M,5e
E0026,F,5e
E0027,M,5e
E0028,F,5e
E0029,F,5e
E0030,M,5e
E0031,F,5e
E0032,F,5e
E0033,M,5e
E0034,F,5e
E0035,M,5e
E0036,F,5e
E0037,M,5e
E0038,M,5e
E0039,M,5e
E0040,F,5e
E0041,F,5e
E0042,M,5e
E0043,M,5e
E0044,M,5e
E0045,F,5e
E0046,F,5e
E0047,F,5e
E0048,M,5e
E0049,F,5e
E0050,F,5e
E0051,M,5e
E0052,M,5e
E0053,M,5e
E0054,F,5e
E0055,M,5e
E0056,M,5e
E0057,F,5e
E0058,M,5e
E0059,M,5e
E0060,M,5e
E0061,F,5e
E0062,M,5e
E0063,M,5e
E0064,F,5e
E0065,F,5e
E0066,F,5e
E0067,F,5e
E0068,F,5e
E0069,M,5e
E0070,M,5e
E0071,M,5e
E0072,F,5e
E0073,M,5e
E0074,M,5e
E0075,F,5e
E0076,M,5e
E0077,F,5e
E0078,M,5e
E0079,F,5e
E0080,F,5e
E0081,M,5e
E0082,F,5e
E0083,M,5e
E0084,F,5e
E0085,M,5e
E0086,M,5e
E0087,M,5e
E0088,M,5e
E0089,F,5e
E0090,M,5e
E0091,F,5e
E0092,F,5e
E0093,F,5e
E0094,M,5e
E0095,M,5e
E0096,F,5e
E0097,F,5e
E0098,M,5e
E0099,F,5e
E0100,F,5e
E0101,F,5e
E0102,M,5e
E0103,M,5e
E0104,M,5e
E0105,M,5e
E0106,M,5e
E0107,F,5e
E0108,M,5e
E0109,F,5e
E0110,M,5e
E0111,F,4e
E0112,F,4e
E0113,F,4e
E0114,M,4e
E0115,F,4e
E0116,F,4e
E0117,M,4e
E0118,F,4e
E0119,M,4e
E0120,M,4e
E0121,M,4e
E0122,M,4e
E0123,M,4e
E0124,F,4e
E0125,M,4e
E0126,F,4e
E0127,M,4e
E0128,F,4e
E0129,M,4e
E0130,F,4e
E0131,M,4e
E0132,M,4e
E0133,F,4e
E0134,F,4e
E0135,M,4e
E0136,F,4e
E0137,F,4e
E0138,F,4e
E0139,M,4e
E0140,F,4e
E0141,M,4e
E0142,M,4e
E0143,F,4e
E0144,M,4e
E0145,F,4e
E0146,F,4e
E0147,M,4e
E0148,M,4e
E0149,F,4e
E0150,M,4e
E0151,F,4e
E0152,M,4e
E0153,M,4e
E0154,F,4e
E0155,M,4e
E0156,M,4e
E0157,M,4e
E0158,M,4e
E0159,M,4e
E0160,M,4e
E0161,M,4e
E0162,M,4e
E0163,M,4e
E0164,F,4e
E0165,F,4e
E0166,M,4e
E0167,M,4e
E0168,M,4e
E0169,M,4e
E0170,M,4e
E0171,M,4e
E0172,F,4e
E0173,M,4e
E0174,F,4e
E0175,F,4e
E0176,M,4e
E0177,F,4e
E0178,F,4e
E0179,M,4e
E0180,M,4e
E0181,F,4e
E0182,F,4e
E0183,F,4e
E0184,M,4e
E0185,M,4e
E0186,M,4e
E0187,M,4e
E0188,F,4e
