id_note,id_eleve,matiere,note,trimestre
N000010,E0001,maths,12.08,1
N000011,E0001,francais,11.61,1
N000012,E0001,sciences,11.54,1
N000013,E0001,anglais,11.35,1
N000014,E0001,histoire_geographie,14.74,1
N000020,E0001,maths,10.65,2
N000021,E0001,francais,12.47,2
N000022,E0001,sciences,12.7,2
N000023,E0001,anglais,9.4,2
N000024,E0001,histoire_geographie,13.9,2
N000030,E0001,maths,11.53,3
N000031,E0001,francais,11.33,3
N000032,E0001,sciences,11.02,3
N000033,E0001,anglais,12.73,3
N000034,E0001,histoire_geographie,11.5,3
N000110,E0002,maths,10.61,1
N000111,E0002,francais,12.66,1
N000112,E0002,sciences,16.41,1
N000113,E0002,anglais,13.64,1
N000114,E0002,histoire_geographie,15.13,1
N000120,E0002,maths,11.81,2
N000121,E0002,francais,13.34,2
N000122,E0002,sciences,12.82,2
N000123,E0002,anglais,14.33,2
N000124,E0002,histoire_geographie,13.5,2
N000130,E0002,maths,14.54,3
N000131,E0002,francais,13.39,3
N000132,E0002,sciences,12.78,3
N000133,E0002,anglais,14.6,3
N000134,E0002,histoire_geographie,14.31,3
N000210,E0003,maths,6.63,1
N000211,E0003,francais,7.23,1
N000212,E0003,sciences,9.56,1
N000213,E0003,anglais,6.76,1
N000214,E0003,histoire_geographie,10.78,1
N000220,E0003,maths,6.08,2
N000221,E0003,francais,8.38,2
N000222,E0003,sciences,8.35,2
N000223,E0003,anglais,6.92,2
N000224,E0003,histoire_geographie,9.08,2
N000230,E0003,maths,7.81,3
N000231,E0003,francais,7.65,3
N000232,E0003,sciences,9.15,3
N000233,E0003,anglais,8.34,3
N000234,E0003,histoire_geographie,8.42,3
N000310,E0004,maths,4.15,1
N000311,E0004,francais,6.36,1
N000312,E0004,sciences,4.48,1
N000313,E0004,anglais,6.28,1
N000314,E0004,histoire_geographie,4.07,1
N000320,E0004,maths,2.94,2
N000321,E0004,francais,4.51,2
N000322,E0004,sciences,4.8,2
N000323,E0004,anglais,4.63,2
N000324,E0004,histoire_geographie,4.33,2
N000330,E0004,maths,4.34,3
N000331,E0004,francais,4.95,3
N000332,E0004,sciences,4.76,3
N000333,E0004,anglais,2.36,3
N000334,E0004,histoire_geographie,6.21,3
N000410,E0005,maths,10.0,1
N000411,E0005,francais,8.98,1
N000412,E0005,sciences,8.64,1
N000413,E0005,anglais,8.76,1
N000414,E0005,histoire_geographie,11.19,1
N000420,E0005,maths,8.3,2
N000421,E0005,francais,9.78,2
N000422,E0005,sciences,10.01,2
N000423,E0005,anglais,8.08,2
N000424,E0005,histoire_geographie,9.98,2
N000430,E0005,maths,7.63,3
N000431,E0005,francais,8.41,3
N000432,E0005,sciences,8.49,3
N000433,E0005,anglais,8.3,3
N000434,E0005,histoire_geographie,11.05,3
N000510,E0006,maths,5.73,1
N000511,E0006,francais,8.56,1
N000512,E0006,sciences,7.73,1
N000513,E0006,anglais,7.67,1
N000514,E0006,histoire_geographie,8.28,1
N000520,E0006,maths,8.27,2
N000521,E0006,francais,7.3,2
N000522,E0006,sciences,6.07,2
N000523,E0006,anglais,6.54,2
N000524,E0006,histoire_geographie,6.97,2
N000530,E0006,maths,7.43,3
N000531,E0006,francais,7.26,3
N000532,E0006,sciences,4.02,3
N000533,E0006,anglais,6.92,3
N000534,E0006,histoire_geographie,8.68,3
N000610,E0007,maths,6.48,1
N000611,E0007,francais,9.98,1
N000612,E0007,sciences,7.39,1
N000613,E0007,anglais,7.65,1
N000614,E0007,histoire_geographie,8.41,1
N000620,E0007,maths,5.94,2
N000621,E0007,francais,9.8,2
N000622,E0007,sciences,10.03,2
N000623,E0007,anglais,7.24,2
N000624,E0007,histoire_geographie,10.4,2
N000630,E0007,maths,7.75,3
N000631,E0007,francais,7.97,3
N000632,E0007,sciences,8.85,3
N000633,E0007,anglais,8.36,3
N000634,E0007,histoire_geographie,8.44,3
N000710,E0008,maths,12.9,1
N000711,E0008,francais,14.36,1
N000712,E0008,sciences,13.42,1
N000713,E0008,anglais,11.48,1
N000714,E0008,histoire_geographie,15.37,1
N000720,E0008,maths,11.86,2
N000721,E0008,francais,13.58,2
N000722,E0008,sciences,11.78,2
N000723,E0008,anglais,12.32,2
N000724,E0008,histoire_geographie,13.09,2
N000730,E0008,maths,10.77,3
N000731,E0008,francais,13.26,3
