id_produit,categorie,sous_categorie,prix_vente_ht,cout_unitaire_ht,marge_cible_pct
1,materiaux,Ciment & liants,5200,4110,21.0
2,MATÉRIAUX,Ciment & liants,5575,4400,21.0
3,materiaux,Ciment & liants,5275,4170,21.0
4,Materiaux,Ciment & liants,3550,2800,21.0
5,Matériaux ,Ciment & liants,4400,3480,21.0
6,Materiaux,Ciment & liants,6925,5470,21.0
7,materiaux,Ciment & liants,3750,2960,21.0
8,Materiaux,Ciment & liants,5150,4070,21.0
9,materiaux,Ciment & liants,5075,4010,21.0
10,MATÉRIAUX,Ciment & liants,3775,2980,21.0
11,Matériaux ,Ciment & liants,6300,4980,21.0
12,Materiaux,Ciment & liants,5500,4340,21.0
13,Matériaux ,Agglomérés & briques,1250,990,21.0
14,Matériaux ,Agglomérés & briques,1200,950,21.0
15,Materiaux,Agglomérés & briques,900,710,21.0
16,Matériaux ,Agglomérés & briques,600,470,21.0
17,MATÉRIAUX,Agglomérés & briques,900,710,21.0
18,MATÉRIAUX,Agglomérés & briques,925,730,21.0
19,Materiaux,Agglomérés & briques,900,710,21.0
20,materiaux,Agglomérés & briques,1325,1050,21.0
21,Matériaux ,Agglomérés & briques,975,770,21.0
22,Materiaux,Agglomérés & briques,600,470,21.0
23,Matériaux ,Sable & gravier,22275,17370,22.0
24,Materiaux,Sable & gravier,22475,17530,22.0
25,materiaux,Sable & gravier,26800,20900,22.0
26,materiaux,Sable & gravier,18450,14390,22.0
27,materiaux,Sable & gravier,13775,10740,22.0
28,Matériaux ,Sable & gravier,20300,15830,22.0
29,Quincaillerie,Fixations,1525,1190,22.0
30,Quincaillerie,Fixations,1400,1090,22.0
31,quincaillerie,Fixations,2125,1660,22.0
32,quincaillerie,Fixations,1800,1400,22.0
33,quincaillerie,Fixations,2125,1660,22.0
34,Quincaillerie ,Fixations,1225,960,22.0
35,QUINCAILLERIE,Fixations,1700,1330,22.0
36,quincaillerie,Fixations,2250,1760,22.0
37,quincaillerie,Fixations,1250,980,22.0
38,Quincaillerie,Fixations,1825,1420,22.0
39,quincaillerie,Fixations,1325,1030,22.0
40,quincaillerie,Fixations,1950,1520,22.0
41,Quincaillerie,Fixations,1375,1070,22.0
42,quincaillerie,Fixations,1675,1310,22.0
43,Quincaillerie ,Outillage,8050,6360,21.0
44,QUINCAILLERIE,Outillage,7400,5850,21.0
45,quincaillerie,Outillage,9400,7430,21.0
46,Quincaillerie,Outillage,8625,6810,21.0
47,Quincaillerie ,Outillage,8300,6560,21.0
48,Quincaillerie,Outillage,8975,7090,21.0
49,quincaillerie,Outillage,6900,5450,21.0
50,Quincaillerie ,Outillage,5400,4270,21.0
