id_facture,id_client,date_facture,date_echeance,date_encaissement,montant_ttc,montant_encaisse,conditions_paiement
300000,11821,2023-01-01,2023-01-31,2023-01-29,483930,483930,30 j
300001,12251,2023-01-01,2023-01-16,2023-01-11,638245,638245,Comptant
300002,18282,2023-01-02,2023-01-17,2023-01-14,1539580,1539580,Comptant
300003,8725,2023-01-03,2023-02-02,2023-01-28,221885,221885,30 j
300004,11146,2023-01-01,2023-01-16,2023-01-21,1762585,1762585,Comptant
300005,11117,2023-01-03,2023-02-02,,999430,0,30 j
300006,10602,2023-01-02,2023-02-01,2023-01-27,1794185,1794185,30 j
300007,18327,2023-01-02,2023-02-01,2023-01-27,866305,866305,30 j
300008,16927,2023-01-03,2023-01-18,,210750,0,Comptant
300009,15511,2023-01-03,2023-01-18,2023-01-13,962820,962820,Comptant
300010,20745,2023-01-03,2023-01-18,2023-02-07,865465,865465,Comptant
300011,3939,2023-01-02,2023-01-17,2023-01-12,336470,336470,Comptant
300012,22730,2023-01-04,2023-01-19,,511990,0,Comptant
300013,6655,2023-01-03,2023-01-18,2023-01-19,725185,725185,Comptant
300014,23662,2023-01-03,2023-01-18,2023-01-17,927490,927490,Comptant
300015,18596,2023-01-04,2023-01-19,,442745,0,Comptant
300016,15704,2023-01-04,2023-02-03,,1338170,0,30 j
300017,148,2023-01-03,2023-02-02,2023-02-03,66270,66270,30 j
300018,8114,2023-01-03,2023-01-18,2023-01-18,715420,715420,Comptant
300019,13284,2023-01-04,2023-02-03,2023-02-01,250280,250280,30 j
300020,1451,2023-01-04,2023-03-05,,681545,0,60 j
300021,618,2023-01-06,2023-01-21,2023-01-21,659730,659730,Comptant
300022,10976,2023-01-06,2023-01-21,2023-01-16,1557810,1557810,Comptant
300023,18667,2023-01-04,2023-01-19,2023-01-19,1247180,1247180,Comptant
300024,4044,2023-01-05,2023-02-04,,1193505,0,30 j
300025,9847,2023-01-06,2023-02-05,,88210,0,30 j
300026,5056,2023-01-04,2023-01-19,2023-01-14,90630,90630,Comptant
300027,11667,2023-01-05,2023-01-20,,1204215,0,Comptant
300028,10674,2023-01-05,2023-02-04,,515945,0,30 j
300029,20468,2023-01-07,2023-03-08,2023-03-05,548230,548230,60 j
300030,15552,2023-01-05,2023-02-04,2023-02-03,953410,953410,30 j
300031,5115,2023-01-07,2023-02-06,,1725485,0,30 j
300032,13968,2023-01-07,2023-02-06,2023-02-05,1750220,1750220,30 j
300033,9422,2023-01-07,2023-02-06,2023-02-04,241230,241230,30 j
300034,6334,2023-01-07,2023-03-08,2023-03-07,1412965,1412965,60 j
300035,17616,2023-01-08,2023-03-09,2023-03-06,1447040,1447040,60 j
300036,2640,2023-01-08,2023-01-23,2023-02-02,1318485,1318485,Comptant
300037,3211,2023-01-07,2023-01-22,2023-03-08,565615,565615,Comptant
300038,13600,2023-01-06,2023-02-05,2023-02-03,815105,815105,30 j
300039,6669,2023-01-06,2023-01-21,2023-01-19,699685,699685,Comptant
300040,16554,2023-01-06,2023-01-21,2023-01-19,540520,540520,Comptant
300041,8995,2023-01-07,2023-02-06,,434045,0,30 j
300042,12742,2023-01-07,2023-01-22,2023-01-20,1107140,1107140,Comptant
300043,12687,2023-01-08,2023-01-23,2023-01-18,223250,223250,Comptant
300044,7932,2023-01-09,2023-01-24,2023-01-19,1783140,1783140,Comptant
300045,22321,2023-01-09,2023-01-24,2023-01-19,1342335,1342335,Comptant
300046,12852,2023-01-09,2023-01-24,2023-01-23,816360,816360,Comptant
300047,9121,2023-01-07,2023-01-22,2023-01-17,635515,635515,Comptant
300048,13037,2023-01-08,2023-02-07,2023-02-04,625750,625750,30 j
300049,12615,2023-01-08,2023-02-07,2023-02-07,149425,149425,30 j
300050,18998,2023-01-10,2023-01-25,2023-01-23,1761455,1761455,Comptant
300051,23238,2023-01-08,2023-01-23,2023-01-23,178540,178540,Comptant
300052,4259,2023-01-10,2023-01-25,2023-02-04,718920,718920,Comptant
300053,10031,2023-01-10,2023-02-09,2023-02-11,1021985,1021985,30 j
300054,10656,2023-01-09,2023-01-24,2023-01-24,1096640,1096640,Comptant
300055,7928,2023-01-10,2023-01-25,2023-01-23,781200,781200,Comptant
300056,1753,2023-01-10,2023-01-25,2023-01-26,290345,290345,Comptant
300057,9487,2023-01-11,2023-01-26,2023-01-24,1750240,1750240,Comptant
300058,4349,2023-01-10,2023-02-09,2023-02-06,392935,392935,30 j
300059,3834,2023-01-11,2023-01-26,2023-01-24,954025,954025,Comptant
300060,20590,2023-01-10,2023-03-11,2023-03-10,1618105,1618105,60 j
300061,10554,2023-01-10,2023-01-25,,83710,0,Comptant
300062,351,2023-01-12,2023-02-11,,1542410,0,30 j
300063,9310,2023-01-10,2023-02-09,2023-02-08,1405565,1405565,30 j
300064,19238,2023-01-11,2023-01-26,2023-01-21,1506920,1506920,Comptant
300065,23576,2023-01-12,2023-02-11,2023-02-08,887525,887525,30 j
300066,21031,2023-01-10,2023-01-25,2023-01-22,699075,699075,Comptant
300067,20839,2023-01-12,2023-02-11,,1281180,0,30 j
300068,18302,2023-01-11,2023-01-26,2023-01-21,1627070,1627070,Comptant
300069,14240,2023-01-11,2023-02-10,2023-02-05,313870,313870,30 j
300070,21996,2023-01-11,2023-01-26,2023-01-21,1184335,1184335,Comptant
300071,22604,2023-01-11,2023-01-26,2023-01-26,275680,275680,Comptant
300072,6118,2023-01-13,2023-02-12,,227280,0,30 j
300073,17804,2023-01-11,2023-01-26,2023-02-05,1626095,1626095,Comptant
300074,23289,2023-01-14,2023-02-13,2023-03-30,1777370,1777370,30 j
300075,23849,2023-01-14,2023-01-29,2023-01-29,690780,690780,Comptant
300076,4899,2023-01-14,2023-01-29,2023-01-26,127065,127065,Comptant
300077,8796,2023-01-12,2023-01-27,2023-01-24,1221885,1221885,Comptant
300078,2191,2023-01-14,2023-02-13,2023-02-13,278035,278035,30 j
300079,6156,2023-01-13,2023-01-28,2023-02-17,142760,142760,Comptant
300080,14204,2023-01-13,2023-01-28,,1214905,0,Comptant
300081,393,2023-01-13,2023-01-28,2023-01-28,1513540,1513540,Comptant
300082,287,2023-01-13,2023-01-28,2023-01-27,677255,677255,Comptant
300083,22942,2023-01-14,2023-01-29,2023-01-24,1323810,1323810,Comptant
300084,6965,2023-01-15,2023-02-14,,550865,0,30 j
300085,4322,2023-01-14,2023-01-29,,1387270,0,Comptant
300086,18339,2023-01-13,2023-01-28,,182605,0,Comptant
300087,10964,2023-01-14,2023-02-13,2023-02-12,544060,544060,30 j
300088,8847,2023-01-14,2023-01-29,2023-01-24,1068285,1068285,Comptant
300089,17856,2023-01-15,2023-02-14,2023-02-09,553355,553355,30 j
300090,11624,2023-01-16,2023-02-15,,1357890,0,30 j
300091,6398,2023-01-14,2023-01-29,2023-01-26,974545,974545,Comptant
300092,8376,2023-01-14,2023-01-29,2023-02-08,1550695,1550695,Comptant
300093,17118,2023-01-16,2023-02-15,2023-02-12,1098605,1098605,30 j
300094,14668,2023-01-15,2023-01-30,2023-01-30,1337375,1337375,Comptant
300095,16795,2023-01-16,2023-01-31,2023-01-31,1575820,1575820,Comptant
300096,10242,2023-01-17,2023-02-16,,989205,0,30 j
300097,1563,2023-01-16,2023-02-15,,1364325,0,30 j
300098,12556,2023-01-15,2023-03-16,2023-03-11,1267230,1267230,60 j
300099,7224,2023-01-15,2023-01-30,2023-01-27,900035,900035,Comptant
300100,17445,2023-01-16,2023-01-31,2023-01-30,108320,108320,Comptant
300101,1253,2023-01-18,2023-02-17,,125385,0,30 j
300102,10151,2023-01-17,2023-02-01,2023-02-01,1142050,1142050,Comptant
300103,399,2023-01-18,2023-02-17,,382920,0,30 j
300104,14516,2023-01-17,2023-02-01,2023-01-29,1220850,1220850,Comptant
300105,9370,2023-01-17,2023-02-01,2023-01-27,1376800,1376800,Comptant
300106,16651,2023-01-18,2023-02-02,2023-01-31,1076275,1076275,Comptant
300107,4886,2023-01-16,2023-01-31,2023-01-29,1526605,1526605,Comptant
300108,15750,2023-01-18,2023-02-02,2023-02-02,1285275,1285275,Comptant
300109,12984,2023-01-19,2023-02-03,2023-02-03,235460,235460,Comptant
300110,12093,2023-01-17,2023-02-01,,777380,0,Comptant
300111,2692,2023-01-17,2023-02-16,2023-02-18,1193370,1193370,30 j
300112,5510,2023-01-19,2023-02-03,,1756120,0,Comptant
300113,20269,2023-01-17,2023-02-01,2023-01-30,1628040,1628040,Comptant
300114,19411,2023-01-17,2023-02-01,,1578930,0,Comptant
300115,21303,2023-01-18,2023-02-17,2023-02-17,1735485,1735485,30 j
300116,7300,2023-01-19,2023-02-18,2023-02-15,1170075,1170075,30 j
300117,19685,2023-01-18,2023-02-02,2023-02-01,1516545,1516545,Comptant
300118,6668,2023-01-20,2023-02-19,2023-02-18,74400,74400,30 j
300119,21037,2023-01-20,2023-02-19,2023-02-17,1740175,1740175,30 j
300120,20331,2023-01-20,2023-02-04,2023-02-05,1167270,1167270,Comptant
300121,16723,2023-01-21,2023-02-20,2023-02-18,1170560,1170560,30 j
300122,11651,2023-01-21,2023-02-05,2023-01-31,490540,490540,Comptant
300123,2943,2023-01-21,2023-03-22,2023-03-19,167475,167475,60 j
300124,12094,2023-01-20,2023-02-04,2023-02-06,521100,521100,Comptant
300125,17110,2023-01-20,2023-02-04,2023-02-01,1410695,1410695,Comptant
300126,17770,2023-01-20,2023-02-04,2023-02-01,1747110,1747110,Comptant
300127,21706,2023-01-19,2023-02-18,2023-02-13,617090,617090,30 j
300128,10645,2023-01-20,2023-03-21,2023-03-16,103715,103715,60 j
300129,19641,2023-01-20,2023-02-04,2023-02-01,961730,961730,Comptant
300130,330,2023-01-21,2023-02-05,,564545,0,Comptant
300131,6385,2023-01-21,2023-02-20,2023-02-19,1161540,1161540,30 j
300132,11399,2023-01-21,2023-02-05,2023-01-31,1405845,1405845,Comptant
300133,18262,2023-01-21,2023-03-22,,486690,0,60 j
300134,7318,2023-01-20,2023-02-04,,557945,0,Comptant
300135,6255,2023-01-22,2023-02-06,2023-02-01,224110,224110,Comptant
300136,13605,2023-01-21,2023-03-22,2023-03-19,455095,455095,60 j
300137,3107,2023-01-22,2023-02-21,2023-02-18,1779185,1779185,30 j
300138,636,2023-01-22,2023-02-06,2023-02-01,851705,851705,Comptant
300139,17328,2023-01-21,2023-02-20,2023-02-17,547225,547225,30 j
300140,2392,2023-01-23,2023-03-24,2023-03-23,1497450,1497450,60 j
300141,1645,2023-01-22,2023-02-21,2023-03-13,699555,699555,30 j
300142,535,2023-01-23,2023-02-07,,1151855,0,Comptant
300143,12923,2023-01-24,2023-02-23,,936015,0,30 j
300144,18350,2023-01-24,2023-02-08,2023-02-13,1019285,1019285,Comptant
300145,500,2023-01-22,2023-02-21,2023-02-21,355640,355640,30 j
300146,10580,2023-01-24,2023-02-08,,1704190,0,Comptant
300147,20868,2023-01-23,2023-02-22,2023-02-19,652310,652310,30 j
300148,9940,2023-01-24,2023-02-23,2023-02-18,671320,671320,30 j
300149,14069,2023-01-25,2023-02-09,2023-02-04,879685,879685,Comptant
300150,11430,2023-01-24,2023-02-08,2023-02-05,873795,873795,Comptant
300151,12240,2023-01-25,2023-02-24,,212150,0,30 j
300152,20148,2023-01-23,2023-02-22,2023-02-17,1483930,1483930,30 j
300153,152,2023-01-24,2023-03-25,2023-03-22,1243880,1243880,60 j
300154,19863,2023-01-23,2023-02-22,2023-02-20,872865,872865,30 j
