mois,id_magasin,colis,poids_kg,cout_carburant_fcfa,cout_main_oeuvre_fcfa,cout_vehicule_fcfa,cout_total_fcfa
2023-01,1,176,2525,267479,211859,98091,577429
2023-01,2,176,2010,322156,215810,89071,627037
2023-01,3,176,2229,321334,183851,80419,585604
2023-01,4,176,2081,297290,190459,120005,607754
2023-01,5,176,2455,305786,175328,107605,588719
2023-01,6,176,1993,309449,173761,71584,554794
2023-02,1,164,2195,239846,172627,96696,509170
2023-02,2,164,1961,277419,167984,68747,514150
2023-02,3,164,2344,296564,152891,83429,532884
2023-02,4,164,2512,272034,154327,97995,524355
2023-02,5,164,2076,284616,177948,101387,563950
2023-02,6,164,2368,247817,176742,110545,535103
2023-03,1,216,3226,378167,258600,122611,759378
2023-03,2,216,2856,351095,260455,114341,725890
2023-03,3,216,3045,365383,247019,88754,701157
2023-03,4,216,2781,392665,197516,108941,699123
2023-03,5,216,2506,349074,249741,137854,736670
2023-03,6,216,3326,376200,246246,146028,768475
2023-04,1,200,2540,333626,213683,85000,632309
2023-04,2,200,2939,352550,192368,88804,633722
2023-04,3,200,2682,369087,180769,87085,636941
2023-04,4,200,2366,316420,236561,137481,690462
2023-04,5,200,2848,359561,234963,131954,726478
2023-04,6,200,2937,326893,191105,94362,612360
2023-05,1,169,2433,285622,163574,102580,551777
2023-05,2,169,2449,300039,157196,77675,534910
2023-05,3,169,2328,256407,209987,80175,546568
2023-05,4,169,1975,263624,190608,107247,561479
2023-05,5,169,2496,279362,209289,116355,605006
2023-05,6,169,2037,309221,210459,98894,618574
2023-06,1,138,1836,203202,131754,74314,409270
2023-06,2,138,1984,239228,139119,65296,443643
2023-06,3,138,1645,227836,130147,82042,440025
2023-06,4,138,1808,251996,148728,73563,474287
2023-06,5,138,2135,216700,149692,67485,433877
2023-06,6,138,2074,201917,167043,95969,464929
2023-07,1,129,1842,200764,158985,85568,445317
2023-07,2,129,1642,189832,120933,67813,378578
2023-07,3,129,1604,191984,128629,55658,376271
2023-07,4,129,1595,211762,152564,86633,450960
2023-07,5,129,1673,195546,128459,60741,384746
2023-07,6,129,1781,222189,142023,87318,451530
2023-08,1,148,2269,245077,183563,83746,512387
2023-08,2,148,2281,236444,159788,73719,469951
2023-08,3,148,1696,237808,149005,76434,463248
2023-08,4,148,2188,227291,176315,67807,471414
2023-08,5,148,1953,223745,152313,100221,476279
2023-08,6,148,1866,225365,155587,84693,465644
2023-09,1,180,2137,321377,198921,85615,605912
2023-09,2,180,2752,329244,221394,82035,632673
2023-09,3,180,2389,324595,187626,123368,635589
2023-09,4,180,2606,325903,209376,75201,610481
2023-09,5,180,2704,298288,224692,106921,629900
2023-09,6,180,2064,275993,220518,117267,613779
2023-10,1,220,2764,353460,232393,107923,693777
2023-10,2,220,2923,357838,223600,127911,709348
2023-10,3,220,2680,382317,267861,121202,771380
2023-10,4,220,3311,355007,218094,136675,709776
2023-10,5,220,3101,368750,248063,99607,716420
2023-10,6,220,2939,326249,198401,106182,630832
2023-11,1,215,3125,395786,262207,95636,753629
2023-11,2,215,2927,346020,200864,138116,685000
2023-11,3,215,2680,387111,206097,127935,721144
2023-11,4,215,2774,345967,233118,107545,686630
2023-11,5,215,2627,346618,215616,150024,712258
2023-11,6,215,2391,354008,229070,129741,712819
2023-12,1,208,2626,326654,192163,85675,604492
2023-12,2,208,3076,368514,239783,96231,704528
2023-12,3,208,2874,311427,207594,129490,648510
2023-12,4,208,2764,304432,197528,121232,623191
2023-12,5,208,2298,329995,223987,90064,644046
2023-12,6,208,3003,350028,250800,103338,704166
2024-01,1,189,2837,344593,192293,83932,620818
2024-01,2,189,2222,327901,194592,112943,635436
2024-01,3,189,2904,304386,176881,108389,589657
2024-01,4,189,2115,295238,192685,80323,568246
2024-01,5,189,2263,275731,221199,84682,581612
2024-01,6,189,2109,310198,202759,119962,632919
2024-02,1,187,2422,329378,183169,85100,597647
2024-02,2,187,2162,322256,220654,88154,631063
2024-02,3,187,2309,278487,230024,93826,602337
2024-02,4,187,2473,294897,197949,76645,569492
2024-02,5,187,2133,335359,180739,103907,620005
2024-02,6,187,2782,331757,181308,111176,624241
2024-03,1,233,2766,351401,280311,117580,749292
2024-03,2,233,3560,413974,284206,162096,860276
2024-03,3,233,3201,368459,215937,149360,733756
2024-03,4,233,2619,402777,256915,119126,778818
2024-03,5,233,2737,353917,256977,157718,768613
2024-03,6,233,2851,425338,236331,150289,811958
2024-04,1,224,3252,392694,251503,110217,754414
2024-04,2,224,3010,354811,276157,90634,721603
2024-04,3,224,2593,380975,249648,126228,756851
2024-04,4,224,3251,334338,278661,147172,760170
2024-04,5,224,3295,333981,247420,116039,697441
2024-04,6,224,2974,341754,231407,140925,714087
2024-05,1,182,2439,291127,164755,95642,551524
2024-05,2,182,2633,305054,220478,93146,618678
2024-05,3,182,2445,323775,206426,74042,604243
2024-05,4,182,2197,283287,207073,119104,609463
2024-05,5,182,2716,279248,212602,113466,605315
2024-05,6,182,2025,323968,175416,117458,616842
2024-06,1,149,2081,233697,137802,91546,463046
2024-06,2,149,2061,261949,174968,95933,532851
2024-06,3,149,2218,227777,140171,100606,468554
2024-06,4,149,1656,245018,176784,92023,513825
