id_produit,id_magasin,mois,jours_rupture,unites_perdues_estimees,ca_perdu_estime_fcfa
1,1,2023-05,2,4,22569
1,2,2023-05,2,4,22569
1,2,2024-01,15,39,217860
1,2,2025-02,7,23,137630
1,2,2025-04,1,3,20364
1,2,2025-08,15,34,199191
1,2,2026-07,4,11,70712
1,3,2024-08,15,36,197550
1,3,2026-06,1,3,18508
1,4,2025-05,15,46,276439
1,4,2025-09,2,6,36389
1,4,2026-02,4,14,88440
1,5,2024-09,7,24,131726
1,5,2026-01,7,22,143055
1,6,2023-12,1,4,19892
1,6,2024-03,7,33,184069
1,6,2026-03,2,9,59272
2,1,2023-12,15,56,309950
2,1,2024-05,15,56,334051
2,2,2023-07,3,6,34036
2,2,2025-05,15,39,254283
2,3,2023-01,1,3,16316
2,3,2025-07,3,9,55326
2,3,2026-04,10,39,264352
2,3,2026-07,3,8,58497
2,4,2023-08,5,11,58063
2,4,2023-09,2,5,27790
2,4,2023-10,1,3,15559
2,4,2024-08,3,6,36544
2,4,2024-09,1,4,21594
2,5,2024-06,10,17,99983
2,5,2024-12,7,22,131826
2,5,2025-05,1,3,16952
2,5,2026-06,1,2,17218
2,5,2026-07,7,20,136492
2,6,2023-07,3,6,34036
2,6,2024-11,4,13,74788
2,6,2026-06,10,25,172179
3,1,2023-07,2,7,34074
3,1,2024-01,2,7,38570
3,1,2024-03,4,19,107108
3,2,2023-12,10,33,174606
3,3,2024-12,1,3,19365
3,3,2025-01,15,34,202479
3,4,2024-01,2,7,38570
3,4,2024-02,15,41,229448
3,5,2024-02,10,27,152965
3,5,2025-02,1,4,21122
3,5,2026-02,3,11,68888
3,5,2026-08,10,30,193094
3,6,2023-09,2,5,27431
4,1,2023-05,2,6,19978
4,1,2024-07,15,24,92219
4,1,2024-08,5,10,39486
4,1,2025-02,1,3,10901
4,1,2026-01,5,22,96636
4,1,2026-03,1,3,13554
4,1,2026-08,3,10,42115
4,2,2024-05,1,4,14347
4,2,2024-11,2,9,33225
4,2,2025-06,7,19,77276
4,3,2023-11,1,4,13294
4,3,2025-06,3,8,33118
4,3,2025-08,7,14,56089
4,3,2026-08,7,23,98269
4,4,2026-06,2,5,20303
4,5,2023-03,1,4,12418
4,5,2023-07,2,3,11409
4,5,2023-08,3,7,25520
4,5,2023-12,4,12,41021
4,5,2024-01,7,15,58390
