id_produit,mois,entrees_unites,stock_moyen_unites,couverture_mois
1,2023-01,575,648,1.23
1,2023-02,380,455,1.17
1,2023-03,595,648,1.11
1,2023-04,740,888,1.30
1,2023-05,311,411,1.23
1,2023-06,315,367,1.17
1,2023-07,390,424,1.11
1,2023-08,374,441,1.30
1,2023-09,355,493,1.23
1,2023-10,526,686,1.17
1,2023-11,496,576,1.11
1,2023-12,627,759,1.30
1,2024-01,426,486,1.23
1,2024-02,392,503,1.17
1,2024-03,786,793,1.11
1,2024-04,711,921,1.30
1,2024-05,603,668,1.23
1,2024-06,303,320,1.17
1,2024-07,257,317,1.11
1,2024-08,400,468,1.30
1,2024-09,507,629,1.23
1,2024-10,655,835,1.17
1,2024-11,564,632,1.11
1,2024-12,419,609,1.30
1,2025-01,520,605,1.23
1,2025-02,501,580,1.17
1,2025-03,784,961,1.11
1,2025-04,480,670,1.30
1,2025-05,461,567,1.23
1,2025-06,482,528,1.17
1,2025-07,469,551,1.11
1,2025-08,303,437,1.30
1,2025-09,445,568,1.23
1,2025-10,658,858,1.17
1,2025-11,602,697,1.11
1,2025-12,533,638,1.30
1,2026-01,441,588,1.23
1,2026-02,493,605,1.17
1,2026-03,740,771,1.11
1,2026-04,542,760,1.30
1,2026-05,558,758,1.23
1,2026-06,409,508,1.17
1,2026-07,424,459,1.11
1,2026-08,506,629,1.30
2,2023-01,467,502,1.12
2,2023-02,251,298,1.06
2,2023-03,549,585,1.01
2,2023-04,349,457,1.19
2,2023-05,288,318,1.12
2,2023-06,370,406,1.06
2,2023-07,328,312,1.01
2,2023-08,324,378,1.19
2,2023-09,390,428,1.12
2,2023-10,395,456,1.06
2,2023-11,511,511,1.01
2,2023-12,505,669,1.19
2,2024-01,336,417,1.12
2,2024-02,419,410,1.06
2,2024-03,478,524,1.01
2,2024-04,586,790,1.19
2,2024-05,590,629,1.12
2,2024-06,234,269,1.06
2,2024-07,370,393,1.01
2,2024-08,314,365,1.19
2,2024-09,605,613,1.12
2,2024-10,417,500,1.06
2,2024-11,489,477,1.01
2,2024-12,426,569,1.19
2,2025-01,607,638,1.12
2,2025-02,491,539,1.06
2,2025-03,451,506,1.01
2,2025-04,628,765,1.19
2,2025-05,408,442,1.12
2,2025-06,405,472,1.06
2,2025-07,422,438,1.01
2,2025-08,431,479,1.19
2,2025-09,760,791,1.12
2,2025-10,630,634,1.06
2,2025-11,513,522,1.01
2,2025-12,652,736,1.19
2,2026-01,496,607,1.12
2,2026-02,531,580,1.06
2,2026-03,570,603,1.01
2,2026-04,527,685,1.19
2,2026-05,548,690,1.12
2,2026-06,334,397,1.06
2,2026-07,470,426,1.01
2,2026-08,392,479,1.19
3,2023-01,451,645,1.37
3,2023-02,276,345,1.30
3,2023-03,484,567,1.23
3,2023-04,550,728,1.45
3,2023-05,407,507,1.37
3,2023-06,286,416,1.30
3,2023-07,459,604,1.23
3,2023-08,456,678,1.45
3,2023-09,384,552,1.37
3,2023-10,503,644,1.30
3,2023-11,439,578,1.23
3,2023-12,549,726,1.45
3,2024-01,491,701,1.37
3,2024-02,451,535,1.30
3,2024-03,785,879,1.23
3,2024-04,472,658,1.45
3,2024-05,315,456,1.37
3,2024-06,404,587,1.30
3,2024-07,453,500,1.23
3,2024-08,544,716,1.45
3,2024-09,585,803,1.37
3,2024-10,365,530,1.30
3,2024-11,523,607,1.23
3,2024-12,493,752,1.45
3,2025-01,330,459,1.37
3,2025-02,585,682,1.30
3,2025-03,691,775,1.23
3,2025-04,530,709,1.45
3,2025-05,559,852,1.37
3,2025-06,502,629,1.30
