id_mouvement,id_client,date_effet,nature,valeur_avant,valeur_apres,type_scd
1,15441,2023-02-06,conditions,30 j ,30 j,1
2,3064,2023-02-09,conditions,Comptant ,Comptant,1
3,5944,2023-02-24,ville,ouagadougou,Ouagadougou,1
4,3694,2023-03-03,ville,Ziniaré,Ouahigouya,2
5,10977,2023-03-03,ville,ouagadougou,Ouagadougou,1
6,6467,2023-03-05,ville,Koudougou,Bobo-Dioulasso,2
7,14040,2023-03-06,ville,Ziniaré,Kaya,2
8,3545,2023-03-07,ville,Ouahigouya,Bobo-Dioulasso,2
9,10936,2023-03-07,segment,Standard,Argent,2
10,1503,2023-03-08,conditions,30 j ,30 j,1
11,3140,2023-03-09,ville,Bobo-Dioulasso,Kaya,2
12,16321,2023-03-11,segment,Standard,Argent,2
13,23211,2023-03-11,ville,Bobo-Dioulasso,Kaya,2
14,9349,2023-03-12,segment,Standard,Argent,2
15,18309,2023-03-13,segment,Standard,Or,2
16,10608,2023-03-18,segment,Standard,Argent,2
17,9411,2023-03-19,segment,Argent,Or,2
18,22948,2023-03-19,segment,Argent,Or,2
19,276,2023-03-20,segment,Argent,Or,2
20,20061,2023-03-20,ville,Ouagadougou,Ouahigouya,2
21,20398,2023-03-21,ville,Ouagadougou,Koudougou,2
22,10436,2023-03-22,ville,Ouagadougou,Bobo-Dioulasso,2
23,14084,2023-03-26,segment,Argent,Or,2
24,6457,2023-03-27,segment,Argent,Standard,2
25,16380,2023-03-28,segment,Argent,Or,2
26,2390,2023-03-29,ville,Ziniaré,Koudougou,2
27,3034,2023-03-31,segment,Standard,Argent,2
28,10968,2023-03-31,segment,Standard,Argent,2
29,20311,2023-03-31,ville,Koudougou,Kaya,2
30,22352,2023-04-01,segment,Or,Standard,2
31,9611,2023-04-03,ville,Ouagadougou,Ouahigouya,2
32,13101,2023-04-04,segment,Argent,Or,2
33,2853,2023-04-05,ville,Ouagadougou,Ouahigouya,2
34,23459,2023-04-05,segment,Or,Argent,2
35,18908,2023-04-08,ville,Ziniaré,Bobo-Dioulasso,2
36,962,2023-04-10,segment,Argent,Or,2
37,6922,2023-04-10,segment,Or,Argent,2
38,14880,2023-04-10,segment,Standard,Argent,2
39,12684,2023-04-12,segment,Argent,Or,2
40,2480,2023-04-13,segment,Or,Argent,2
41,12662,2023-04-13,segment,Argent,Or,2
42,21840,2023-04-14,segment,Standard,Argent,2
43,12075,2023-04-17,ville,Ouagadougou,Ouahigouya,2
44,16400,2023-04-17,segment,Or,Standard,2
45,8214,2023-04-18,segment,Standard,Argent,2
46,14003,2023-04-18,segment,Standard,Argent,2
47,1789,2023-04-19,segment,Or,Standard,2
48,12956,2023-04-19,segment,Argent,Or,2
49,1965,2023-04-20,ville,Koudougou,Kaya,2
50,17827,2023-04-22,segment,Standard,Or,2
51,20700,2023-04-22,ville,Ziniaré,Bobo-Dioulasso,2
52,1718,2023-04-23,segment,Standard,Argent,2
53,13970,2023-04-23,ville,koudougou,Koudougou,1
54,20139,2023-04-23,ville,Kaya,Ouagadougou,2
55,12563,2023-04-24,segment,Standard,Or,2
56,2662,2023-04-25,segment,Or,Standard,2
57,15085,2023-04-25,ville,Koudougou,Ouahigouya,2
58,13839,2023-04-26,segment,Standard,Argent,2
59,22036,2023-04-26,segment,Standard,Or,2
60,18562,2023-04-27,segment,Standard,Argent,2
61,9790,2023-04-28,ville,Bobo-Dioulasso,Ouahigouya,2
62,19947,2023-04-29,ville,Koudougou,Bobo-Dioulasso,2
63,22045,2023-04-30,ville,Kaya,Koudougou,2
64,11232,2023-05-01,ville,Ouagadougou,Ouahigouya,2
65,12314,2023-05-01,ville,Ouagadougou,Bobo-Dioulasso,2
66,14146,2023-05-02,segment,Argent,Or,2
67,13485,2023-05-03,segment,Standard,Argent,2
68,13814,2023-05-03,ville,bobo-dioulasso,Bobo-Dioulasso,1
69,20285,2023-05-04,ville,Kaya,Koudougou,2
70,7692,2023-05-05,segment,Argent,Or,2
71,15831,2023-05-05,segment,Argent,Or,2
72,16026,2023-05-05,segment,Argent,Or,2
73,11739,2023-05-06,segment,Standard,Argent,2
74,14991,2023-05-07,ville,Ouagadougou,Bobo-Dioulasso,2
75,4941,2023-05-08,segment,Argent,Or,2
76,7378,2023-05-08,segment,Standard,Or,2
77,14293,2023-05-08,segment,Standard,Argent,2
78,4235,2023-05-10,segment,Standard,Argent,2
79,17491,2023-05-10,ville,,Koudougou,2
80,14746,2023-05-12,ville,Koudougou,Ouagadougou,2
81,17059,2023-05-14,ville,Koudougou,Ouahigouya,2
82,13934,2023-05-16,segment,Argent,Or,2
83,19134,2023-05-16,segment,Argent,Or,2
84,20774,2023-05-18,ville,Ouagadougou,Kaya,2
85,3709,2023-05-22,segment,Standard,Argent,2
86,3276,2023-05-23,segment,Argent,Standard,2
87,20116,2023-05-23,conditions,Comptant ,Comptant,1
88,2724,2023-05-25,ville,kaya,Kaya,1
89,6754,2023-05-26,segment,Argent,Or,2
90,3037,2023-05-27,segment,Standard,Argent,2
91,13779,2023-05-28,segment,Standard,Argent,2
92,14576,2023-05-28,segment,Standard,Or,2
93,22851,2023-05-28,segment,Argent,Or,2
94,10053,2023-05-30,ville,Ouagadougou,Bobo-Dioulasso,2
