id_produit,date_effet,prix_vente_ht
1,2023-01-01,5210
1,2024-01-01,5451
1,2025-01-01,5976
1,2026-01-01,6384
2,2023-01-01,5673
2,2024-01-01,5859
2,2025-01-01,6420
2,2026-01-01,6807
3,2023-01-01,5373
3,2024-01-01,5696
3,2025-01-01,5917
3,2026-01-01,6567
4,2023-01-01,3510
4,2024-01-01,3779
4,2025-01-01,4102
4,2026-01-01,4333
5,2023-01-01,4350
5,2024-01-01,4602
5,2025-01-01,4926
5,2026-01-01,5445
6,2023-01-01,6832
6,2024-01-01,7259
6,2025-01-01,7954
6,2026-01-01,8499
7,2023-01-01,3726
7,2024-01-01,3964
7,2025-01-01,4332
7,2026-01-01,4598
8,2023-01-01,5180
8,2024-01-01,5575
8,2025-01-01,5885
8,2026-01-01,6318
9,2023-01-01,5002
9,2024-01-01,5433
9,2025-01-01,5708
9,2026-01-01,6256
10,2023-01-01,3823
10,2024-01-01,4062
10,2025-01-01,4263
10,2026-01-01,4647
11,2023-01-01,6247
11,2024-01-01,6647
11,2025-01-01,7178
11,2026-01-01,7677
12,2023-01-01,5415
12,2024-01-01,5769
12,2025-01-01,6225
12,2026-01-01,6816
13,2023-01-01,1241
13,2024-01-01,1326
13,2025-01-01,1440
13,2026-01-01,1564
14,2023-01-01,1196
14,2024-01-01,1297
14,2025-01-01,1340
14,2026-01-01,1490
15,2023-01-01,907
15,2024-01-01,954
15,2025-01-01,1023
15,2026-01-01,1103
16,2023-01-01,606
16,2024-01-01,631
16,2025-01-01,685
16,2026-01-01,749
17,2023-01-01,912
17,2024-01-01,974
17,2025-01-01,1012
17,2026-01-01,1098
18,2023-01-01,917
18,2024-01-01,997
18,2025-01-01,1057
18,2026-01-01,1155
19,2023-01-01,898
19,2024-01-01,959
19,2025-01-01,1045
19,2026-01-01,1109
20,2023-01-01,1321
20,2024-01-01,1419
20,2025-01-01,1532
20,2026-01-01,1666
21,2023-01-01,976
21,2024-01-01,1018
21,2025-01-01,1093
21,2026-01-01,1184
22,2023-01-01,588
22,2024-01-01,642
22,2025-01-01,680
22,2026-01-01,730
23,2023-01-01,22549
23,2024-01-01,23796
23,2025-01-01,25394
23,2026-01-01,27942
24,2023-01-01,22112
24,2024-01-01,23866
24,2025-01-01,25698
24,2026-01-01,27795
25,2023-01-01,26496
25,2024-01-01,28832
25,2025-01-01,30976
25,2026-01-01,33823
26,2023-01-01,18526
26,2024-01-01,19393
26,2025-01-01,20808
26,2026-01-01,22405
27,2023-01-01,14042
27,2024-01-01,14613
27,2025-01-01,15554
27,2026-01-01,16720
28,2023-01-01,20149
28,2024-01-01,22008
28,2025-01-01,23286
28,2026-01-01,24706
29,2023-01-01,1509
29,2024-01-01,1651
29,2025-01-01,1725
29,2026-01-01,1908
30,2023-01-01,1408
30,2024-01-01,1464
30,2025-01-01,1619
30,2026-01-01,1756
31,2023-01-01,2161
31,2024-01-01,2225
31,2025-01-01,2396
31,2026-01-01,2611
32,2023-01-01,1823
32,2024-01-01,1920
32,2025-01-01,2090
32,2026-01-01,2252
33,2023-01-01,2089
33,2024-01-01,2269
33,2025-01-01,2382
33,2026-01-01,2664
34,2023-01-01,1201
34,2024-01-01,1292
34,2025-01-01,1402
34,2026-01-01,1536
35,2023-01-01,1674
35,2024-01-01,1832
35,2025-01-01,1906
35,2026-01-01,2094
36,2023-01-01,2275
36,2024-01-01,2390
36,2025-01-01,2582
36,2026-01-01,2781
37,2023-01-01,1258
37,2024-01-01,1345
37,2025-01-01,1423
37,2026-01-01,1528
38,2023-01-01,1790
38,2024-01-01,1938
38,2025-01-01,2056
38,2026-01-01,2241
39,2023-01-01,1309
39,2024-01-01,1392
39,2025-01-01,1539
39,2026-01-01,1629
40,2023-01-01,1982
40,2024-01-01,2036
40,2025-01-01,2225
40,2026-01-01,2451
41,2023-01-01,1381
41,2024-01-01,1446
41,2025-01-01,1577
41,2026-01-01,1705
42,2023-01-01,1677
42,2024-01-01,1786
42,2025-01-01,1923
42,2026-01-01,2097
43,2023-01-01,7904
43,2024-01-01,8726
43,2025-01-01,9217
43,2026-01-01,9912
44,2023-01-01,7283
44,2024-01-01,7787
44,2025-01-01,8286
44,2026-01-01,9258
45,2023-01-01,9295
45,2024-01-01,9841
45,2025-01-01,10689
45,2026-01-01,11734
46,2023-01-01,8510
46,2024-01-01,9300
46,2025-01-01,10012
46,2026-01-01,10748
47,2023-01-01,8160
47,2024-01-01,8924
47,2025-01-01,9598
47,2026-01-01,10238
48,2023-01-01,9111
48,2024-01-01,9490
48,2025-01-01,10053
48,2026-01-01,11258
49,2023-01-01,6833
49,2024-01-01,7455
49,2025-01-01,7930
49,2026-01-01,8510
50,2023-01-01,5420
50,2024-01-01,5755
50,2025-01-01,6113
50,2026-01-01,6762
51,2023-01-01,6460
51,2024-01-01,6704
51,2025-01-01,7298
51,2026-01-01,7974
52,2023-01-01,5575
52,2024-01-01,6003
52,2025-01-01,6466
52,2026-01-01,6968
53,2023-01-01,4491
53,2024-01-01,4929
53,2025-01-01,5266
53,2026-01-01,5588
54,2023-01-01,8987
54,2024-01-01,9283
54,2025-01-01,10229
54,2026-01-01,11011
55,2023-01-01,7946
55,2024-01-01,8302
55,2025-01-01,8991
55,2026-01-01,9804
56,2023-01-01,4352
56,2024-01-01,4531
56,2025-01-01,4818
56,2026-01-01,5301
57,2023-01-01,6325
57,2024-01-01,6916
57,2025-01-01,7137
57,2026-01-01,7997
58,2023-01-01,5119
58,2024-01-01,5466
58,2025-01-01,5709
58,2026-01-01,6363
59,2023-01-01,6985
59,2024-01-01,7420
59,2025-01-01,7891
59,2026-01-01,8561
60,2023-01-01,4957
60,2024-01-01,5293
60,2025-01-01,5661
60,2026-01-01,5960
61,2023-01-01,2849
61,2024-01-01,3091
61,2025-01-01,3239
61,2026-01-01,3621
62,2023-01-01,3089
62,2024-01-01,3234
62,2025-01-01,3477
62,2026-01-01,3734
63,2023-01-01,3027
63,2024-01-01,3234
63,2025-01-01,3446
63,2026-01-01,3815
64,2023-01-01,2853
64,2024-01-01,3056
64,2025-01-01,3268
64,2026-01-01,3572
65,2023-01-01,4031
65,2024-01-01,4199
65,2025-01-01,4663
65,2026-01-01,4990
66,2023-01-01,4016
66,2024-01-01,4333
66,2025-01-01,4580
66,2026-01-01,4990
67,2023-01-01,3457
67,2024-01-01,3626
67,2025-01-01,3909
67,2026-01-01,4231
68,2023-01-01,2380
68,2024-01-01,2518
68,2025-01-01,2719
68,2026-01-01,2861
69,2023-01-01,2721
69,2024-01-01,2857
69,2025-01-01,3143
69,2026-01-01,3335
70,2023-01-01,3679
70,2024-01-01,3955
70,2025-01-01,4259
70,2026-01-01,4698
71,2023-01-01,2911
71,2024-01-01,3112
71,2025-01-01,3354
71,2026-01-01,3570
72,2023-01-01,3761
72,2024-01-01,4016
72,2025-01-01,4403
72,2026-01-01,4658
73,2023-01-01,28229
73,2024-01-01,30309
73,2025-01-01,31547
73,2026-01-01,34430
74,2023-01-01,30859
74,2024-01-01,32573
74,2025-01-01,34490
74,2026-01-01,36850
75,2023-01-01,22712
